_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold_labels
569,942841,678451,We All (Rush Of Fools Album Version),Rush Of Fools,0,The Pillow Book,1996.0,,Invocations of Gompo,buddhist lamas + monks of the four great orders,0
592,734682,694744,Ain't No Woman Like The One I Got,Jeff Golub Featuring Richard Elliot,2007,This Is 40,2012.0,,I Got You (At the End of the Century),jeff tweedy + wilco,0
599,885218,193161,Love Or Let Me Be Lonely,The Friends Of Distinction,1995,Reading and Leeds Festival,2009.0,Kings of Leon (#1.3),Be Somebody,kings of leon,0
610,486199,421607,A One Story Town,Tom Petty And The Heartbreakers,1982,Dreamgirls,2006.0,,One Night Only,henry krieger + tom eyen + beyoncÃ© knowles + anika noni rose + sharon leal,0
627,951132,591561,I Get A Kick Out Of You,Louis Armstrong / Oscar Peterson / Herb Ellis / Ray Brown / Louie Bellson,0,Reet  Petite  and Gone,1947.0,,I KNOW WHAT YOURE PUTTIN DOWN,louis jordan + louis jordan   with his tympany five,0
643,852833,643340,Silent Night (wrds. Joseph Mohr_ trans. & arr. Willcocks) (1991 Digital Remaster),Stephen Varcoe/Choir of King's College_ Cambridge/Sir David Willcocks,0,Thats My Boy,2012.0,,Dance The Night Away,edward van halen + alex van halen + michael anthony + david lee roth + van halen + arrangement with warner music group film + tv licensing,0
664,926594,57608,Whatever Gets You Thru The Night (2005 Mix),John Lennon,0,Dancing with the Stars,2004.0,(#11.4),Pictures of You,the last goodnight + jeff blue + kurtis john + mike nadeau,0
669,926594,192177,Whatever Gets You Thru The Night (2005 Mix),John Lennon,0,Raising Hope,2010.0,Mongooses (#1.17),You Make My Dreams,sara allen + daryl hall + john oates + hall + oates,0
676,910211,232107,Short Shorts,Royal Teens,1986,Tamori kurabu,1982.0,Anniversary Billboard (#1.800),Short Shorts,the royal teens,1
678,754573,13244,Cuando Nadie Me Ve,Alejandro Sanz,2001,Amores verdaderos,2012.0,Asesinar a Cristina (#1.109),No me compares,alejandro sanz,0
681,893844,220286,Save Your Love,Great White,1987,Soul Train,1971.0,Stephanie Mills/Force MDs (#17.26),Your Love Drives Me Crazy,james edward white + jr. + force m.d.s,0
687,246692,479195,De cara a la pared,Lhasa De Sela,0,I Love Dick,2016.0,,De Cara a la Pared,lhasa de sela + yves desrosiers,1
690,926646,649808,I Want Some of Your Pie,Blind Boy Fuller,1989,The Black Facade,2009.0,,Fourth of July,jamie ewing + bent outta shape + ian pony boy campbell + ren khodzheyev + matthew skip callahan,0
692,951230,592106,Spill The Wine,Eric Burdon,1986,Remember the Titans,2000.0,,Spill The Wine,harold r. brown + morris d. dickerson + lonnie jordan + lee oskar + eric burdon + war,1
703,959424,437631,Love In The Meantime,George Jones & Tammy Wynette,0,Fear No Evil,1981.0,,Anarchy in the UK,john lydon + steve jones + glen matlock + paul cook + the sex pistols,0
705,959424,521023,Love In The Meantime,George Jones & Tammy Wynette,0,Live from Austin Tx: Norah Jones,2008.0,,Creepin In,lee alexander + norah jones + m. ward,0
710,959447,14636,6 pieces for electric violin: Dawn of a Darker Day,Ed Alleyne-Johnson,0,Animaniacs,1993.0,Testimonials/Babblin Bijou/Potty Emergency/Sir Yaksalot (#1.26),While Strolling Through the Park One Day,ed haley,0
726,918219,19251,I Feel The Earth Move,Carole King,1971,Australian Idol,2003.0,Top 24 Group 4 Performance Show: Girls (#4.10),(You Make Me Feel Like) A Natural Woman,gerry goffin + carole king + jerry wexler + lavina williams,0
730,541671,225011,Main Title,Jerry Goldsmith,1966,Star Trek: Voyager,1995.0,Someone to Watch Over Me (#5.22),Star Trek: Voyager - Main Title,jerry goldsmith + jay chattaway,0
732,541671,225512,Main Title,Jerry Goldsmith,1966,Stargate SG-1,1997.0,Touchstone (#2.14),End Title,joel goldsmith,0
738,959468,101354,My Lord And Master (from The King And I),The Original London Cast,0,Gotham,2014.0,The Fearsome Dr. Crane (#1.14),Trouble In My Way,the cast of gotham,0
767,959509,270191,Such Is Love_ Such Is Life,Smokey Robinson & The Miracles,0,The Sopranos,1999.0,The Happy Wanderer (#2.6),Love is Strange,mickey baker + sylvia robinson + ethel smith + mickey + sylvia,0
783,844855,239594,Your Money Makes You Purty,Jerry Reed,1999,The Blues,2003.0,Red  White and Blues (#1.6),Baby What You Want me To Do,written y jimmy reed + jeff beck,0
787,603158,676702,Deep Ocean Vast Sea,Peter Murphy,1989,The Opening Farewell,2010.0,,Lunar Sea,andrew latimer + peter bardens + camel,0
812,863078,191186,Cavatina - Arranged by Chris Hazell,Bryn Terfel / London Symphony Orchestra / Barry Wordsworth / John Williams,0,Radio 1s Big Weekend,2010.0,Radio 1s Big Weekend: The Best Bits (#1.5),Brick By Boring Brick,hayley williams + josh farro + paramore,0
819,99437,257180,The Twelve Days Of Christmas (Album Version),Jerry Jeff Walker,0,The Mysteries of Laura,2014.0,The Mystery of the Art Ace (#1.7),Piece of My Heart,jerry ragovoy + bert berns + big brother + the holding company,0
835,812189,276996,I Like That You Can't Take That Away From Me,Jae Millz / Eric B. & Rakim / Mashonda / June Christy,0,The Tonight Show with Jay Leno,1992.0,(#18.103),Cooler Than Me,mike posner + eric hÃ¶lljes,0
845,779423,726337,Gin Soaked Boy,Tom Waits,1983,Wolfen,1981.0,,Jitterbug Boy,tom waits,0
846,124075,595182,Slow Motion Bossa Nova,Celso Fonseca,2003,Rio  Eu Te Amo,2014.0,,Slow Motion Bossa Nova,celso fonseca,1
857,959680,581535,I Think I'm Going To Want To Need That,De La Hoya,0,Powder Room,2013.0,,Going Even Deeper,cest la soupe,0
870,132324,578421,Old Friends,Richard Dobson & State Of The Heart,0,Playboy of Paris,1930.0,,In the Heart of Old Paree,richard a. whiting + newell chase,0
882,959739,278245,The Season of Love,Little River Band,0,The Tonight Show with Jay Leno,1992.0,(#20.150),The Heart of Rock & Roll,johnny colla + huey lewis + the tonight show band,0
888,697604,375635,If You Want This Love,The West Coast Pop Art Experimental Band,1966,Bratz,2007.0,,Doesnt Get Better Than This,alex band + d. damico,0
895,959760,57608,In The Name Of The Holocaust: A. 3'36,John Cage,0,Dancing with the Stars,2004.0,(#11.4),Pictures of You,the last goodnight + jeff blue + kurtis john + mike nadeau,0
896,959760,514979,In The Name Of The Holocaust: A. 3'36,John Cage,0,Lego Star Wars: The Yoda Chronicles - The Phantom Clone,2013.0,,Duel of the Fates,john williams,0
903,959760,437631,In The Name Of The Holocaust: A. 3'36,John Cage,0,Fear No Evil,1981.0,,Anarchy in the UK,john lydon + steve jones + glen matlock + paul cook + the sex pistols,0
915,927004,355210,Could It Be I'm Falling In Love,David Grant & Jaki Graham,1985,Austin Powers in Goldmember,2002.0,,Alfie (Whats It All About  Austin?),burt bacharach + hal david + susanna hoffs,0
920,927004,584526,Could It Be I'm Falling In Love,David Grant & Jaki Graham,1985,Public Access,2010.0,,Eggs in a Briar Patch,david byrne + arrangement with mold fig music + inc.,0
934,958683,298466,I Remember,Robert Glasper,2005,Top of the Pops 2,1994.0,TOTP2 Presents the Nineties,(Everything I Do) I Do It for You,bryan adams + michael kamen + robert john lange,0
938,943404,400149,You're the Dream Unicorn! - Live (KXLU 2006) [Bonus Track],The Blood Brothers,0,Crazy Mama,1975.0,,All I Have To Do Is Dream,felice bryant + boudleaux bryant + the everly brothers,0
966,917415,568750,Love On Top Of Love-Killer Kiss (The Cole & Clivilles Garage House Mix) (Digitally Remastered 2004),Grace Jones,1989,Out of Sight,1966.0,,A Love Like You,derek quinn + alan jones + freddie + the dreamers,0
978,763294,517285,Shuffle Off To Buffalo,Hal Kemp and his Orchestra,0,Lets Make Rhythm,1947.0,,Concerto To End All Concertos,stan kenton + his orchestra,0
980,763294,729081,Shuffle Off To Buffalo,Hal Kemp and his Orchestra,0,Yes: Symphonic Live,2002.0,,Close To The Edge,jon anderson + steve howe + chris squire + yes  with european festival orchestra,0
982,943521,322399,The Day Hell Broke Loose At Sicard Hollow,Maylene And The Sons Of Disaster,2007,You Bet Your Life,1950.0,(#2.20),Old Folks At Home,stephen foster + television orchestra under the leadership of buddy collette,0
985,959912,652694,Bean Dubh an Ghleanna (Dark Woman of the Glen),Tony Mac Mahon_ Noel Hill & Iarla O Lionaird,0,The Cemetery Club,1993.0,,Kiss Of Fire,lester allen + robert hill + diane ladd,0
1014,959971,369925,Bring Your Heart,Angie Stone / Diamond Stone,2002,Blanc comme neige,2010.0,,Color Your World,abel / kloze,0
1029,894461,216063,A Heart & a Hand & the Love for a Band,David & The Citizens,2006,So You Think You Can Dance Canada,2008.0,Top 20 Performance (#4.8),Melody of Love (Wanna Be Loved),donna summer + david cole + robert clivillÃ©s + joe carrano,0
1033,960002,610647,One More Today,Paul Brady,0,Shaft,2000.0,,Hot Gal Today (Krotches Remix),cleveland browne + wycliff johnson + mr. vegas + sean paul,0
1075,910930,325301,Les hommes que j'aime,La Rue KÃ©tanou,2002,Ãnima,2009.0,(#2.52),Que algÃº marqui un gol,la increÃ¯ble histÃ²ria de carles carolina,0
1094,960127,472871,Slow It Down (Amended Version),Little Brother,2005,Hollywoodland,2006.0,,The Girl Cant Help It,bobby troup + little richard,0
1107,853650,369903,(You Make Me Feel Like) A Natural Woman,Lisa Bund,2007,Blame It on Rio,1984.0,,Alone With Me,lisa roberts gillan + kenneth wannberg,0
1112,714398,379008,A Few Minutes Of Silence (Album Version),Paul Westerberg,1993,BrÃ¼tal Legend,2009.0,,Wheels of Steel,biff byford + paul quinn + graham oliver + steve dawson + pete gill + saxon,0
1113,714398,488795,A Few Minutes Of Silence (Album Version),Paul Westerberg,1993,J.C.,1972.0,,Fault Of Every Man,paul jarvis + bethany,0
1115,868635,642619,First Time I Met The Blues,Buddy Guy,1970,Thanks for Listening,1937.0,,I Like to Make Music,connie lee + al heath + buddy la roux + pinky tomlin,0
1120,960174,713922,King of the Honky Tonks,Commander Cody And His Lost Planet Airmen,0,Vincent Lopez and His Orchestra,1939.0,,The Song of the Marines,harry warren + vincent lopez + his orchestra,0
1121,960174,154989,King of the Honky Tonks,Commander Cody And His Lost Planet Airmen,0,Miss Fishers Murder Mysteries,2012.0,Game  Set & Murder (#3.7),Whats the Use of Living Without Love,james hanley + joseph mccarthy + king oliver + his orchestra,0
1122,960174,365134,King of the Honky Tonks,Commander Cody And His Lost Planet Airmen,0,Best Foot Forward,1943.0,,The Flight of the Bumblebee,nikolai rimsky-korsakov + harry james + his orchestra  at the prom,0
1125,165553,679195,Wicked Game (LP Version),Chris Isaak,1989,The Preppie Murder,1989.0,,Wicked Game,chris isaak,1
1129,960178,260591,Love Can Be So Cold (Album Version),George Duke,1995,The Perry Como Show,1948.0,(#2.56),Taking a Chance on Love,vernon duke + john la touche + ted fetter + ethel waters,0
1130,960178,429442,Love Can Be So Cold (Album Version),George Duke,1995,Elvis: #1 Hit Performances,2007.0,,Cant Help Falling In Love,george david weiss + hugo peretti + luigi creatore + elvis presley,0
1132,961482,467747,It's All Over,Ben Harney / Jennifer Holliday / Sheryl Lee Ralph / Loretta Devine / Cleavant Derricks / Obba Babatunde / Deborah Burrell,0,Hells Angels,1930.0,,Sailing  Sailing Over the Bounding Main,godfrey marks + ben lyon,0
1133,952001,680601,Little Girl (1993 Digital Remaster),The King Cole Trio,0,The Range Busters,1940.0,,Get Along Little Cowboy,johnny lange + lew porter + john dusty king,0
1141,960219,301377,True Love Ways,Catherine Zeta Jones / David Essex,0,Top of the Pops,1964.0,(1980-12-18),Whole Lotta Love,ccs + jimmy page + john bonham + robert plant + john paul jones,0
1150,887762,252128,These Foolish Things (Remind Me Of You),Ray Conniff Singers,0,The Life and Legend of Wyatt Earp,1955.0,Until Proven Guilty (#6.27),The Legend of Wyatt Earp,harry warren + the ken darby singers,0
1151,887762,252058,These Foolish Things (Remind Me Of You),Ray Conniff Singers,0,The Life and Legend of Wyatt Earp,1955.0,The Buntline Special (#1.16),The Legend of Wyatt Earp,harry warren + the ken darby singers,0
1154,887762,590127,These Foolish Things (Remind Me Of You),Ray Conniff Singers,0,Ray,2004.0,,The Key of G,ray charles,0
1193,927505,376262,Medley 'Rescate Tipico' No.1: Pajaro Perlu / Fiesta Y Serrucho / El Diente De Oro / Abusadora,Los Toros Band,0,Breathing Room,1996.0,,Popurri Navideno - El Cascabel,los toros band,0
1199,501522,507918,La Cosa Buffa (Reprise 9),Ennio Morricone,0,La guerre est dÃ©clarÃ©e,2011.0,,Theme from _La cosa buffa (1972)_ (qv)  directed by Aldo Lado (qv),ennio morricone,0
1206,935707,124922,On Christmas Morning,Michael McDonald,0,JonTron,2010.0,Foodfight! (#5.3),Widower Christmas,michael donner,0
1226,952161,524216,Every Day Is Saturday,The Real Kids,0,Lost on Purpose,2013.0,,King For A Day,peter donovan + benjamin harms + all the real girls,0
1254,780172,365292,Teen Angel,Mark Dinning,1973,Best of Bandstand,1986.0,,Teen Angel,red surrey + jean dinning + mark dinning,1
1259,876515,346233,Hey! Baby,Bruce Channel,1962,America the Beautiful,2007.0,,Hey! Baby,margaret cobb + bruce channel,1
1264,960441,683109,Give It To Me,Mobb Deep / Young Buck,2006,The School of Rock,2003.0,,Highway To Hell,bon scott + angus young + malcolm young,0
1265,960441,42374,Give It To Me,Mobb Deep / Young Buck,2006,Caroline in the City,1995.0,Caroline and the Cold Sesame Noodles (#3.8),Give My Regards to Broadway,george m. cohan + rita mckenzie + keone young + parry shen + andrew lauer,0
1272,938270,644243,Shut Up And Drive,New Duncan Imperials,0,The 40th Annual Tony Awards,1986.0,,You Could Drive a Person Crazy,stephen sondheim + sandy duncan + juliet prowse + ann reinking,0
1315,830418,674216,Night And Day,Cole Porter,1964,The Monuments Men,2014.0,,Night And Day,cole porter + patrick peronne,1
1318,378883,54472,Sildavia,La UniÃ³n,1984,CuÃ©ntame,2001.0,Un asunto de familia (#17.5),Sildavia,rafa sÃ¡nchez + ÃÃ±igo zabala + mario martÃ­nez + luis bolÃ­n + la uniÃ³n,1
1320,960528,416789,I Want to Say,Plaisir de France,0,Divas of Disco,2007.0,,Come to Me,antonio diverdis + france joli,0
1326,886823,576421,The Streets Of Laredo,Michael Martin Murphey,1989,Picture This,2008.0,,Pictures of You,the last goodnight + jeffrey mark blue + kurtis john henneberry + michael nadeau,0
1341,935980,424607,Cost Of Living,Right Said Fred,2006,Easter Parade,1948.0,,A Couple of Swells,irving berlin + fred astaire + judy garland,0
1342,935980,70012,Cost Of Living,Right Said Fred,2006,Die Harald Schmidt Show,1995.0,Show #13 (#1.13),Living on a Dream,right said fred,0
1344,854064,711620,Concerto No. 2 for Flute & Orchestra_ K. 314 in D/Rondeau: Allegro,James Galway;Sir Neville Marriner,0,Vampyres,1974.0,,Waiting For Death,james kenelm clarke + james clarke orchestra,0
1366,223309,240706,Walking On Sunshine,Katrina and the Waves feat. Soweto Gospel Choir,1985,The Choir: Unsung Town,2009.0,(#1.3),Walking on Sunshine,kimberley rew + south oxhey young mens choir,0
1384,960613,532392,Symphony No. 6 in C major_ D589: Second movement: Andante,Sir Thomas Beecham/Royal Philharmonic Orchestra,0,Man on Wire,2008.0,,In The Hall Of The Mountain King,edvard grieg + philadelphia orchestra,0
1402,845972,305695,Days Of Old (Album Version),Eric Clapton / B.B. King,2000,True Blood,2008.0,Scratches (#2.3),Power (Voodoo Version),king britt,0
1408,18583,12143,Will I See My Star,The Dolly Rocker Movement,2006,American Idol: The Search for a Superstar,2002.0,Top 13 Perform (#11.17),I Will Always Love You,dolly parton + jessica sanchez,0
1442,903360,386430,The magic of love,Russell Watson / Lionel Richie / Jay Berliner / Jeff Bova / Royal Philharmonic Orchestra / John Lubbock,0,Casualties of War,1989.0,,Magic Carpet Ride,rushton moreve + john kay + steppenwolf,0
1446,903360,576421,The magic of love,Russell Watson / Lionel Richie / Jay Berliner / Jeff Bova / Royal Philharmonic Orchestra / John Lubbock,0,Picture This,2008.0,,Pictures of You,the last goodnight + jeffrey mark blue + kurtis john henneberry + michael nadeau,0
1482,534735,104334,Un Ange Frappe A Ma Porte,Natasha St-Pier,2006,Guapas,2014.0,Charlas de hombres (#1.26),Un ange frappe Ã  ma porte,natasha st-pier,1
1484,248025,196502,I Can't Drive 55,Sammy Hagar,1984,Rock & Roll Road Trip with Sammy Hagar,2016.0,Cabo Birthday Bash (#1.6),I Cant Drive 55,sammy hagar + the circle,1
1487,307579,257468,Autumn Leaves,Nat King Cole,1954,The Nat King Cole Show,1954.0,(#1.5),Autumn Leaves,joseph kosma + nat king cole,1
1493,936175,104477,How Long Do I Have To Wait For You?,Sharon Jones & The Dap-Kings,2005,Guapas,2014.0,En las buenas y en las malas (#1.170),I Want to Know What Love Is,mick jones + mariah carey,0
1507,939734,287013,The Academy In Peril,John Cale,1972,The X Factor,2004.0,Auditions 6 (#4.6),One Moment in Time,albert hammond + john bettis + whitney houston,0
1523,936209,316536,D And D,Jedi Mind Tricks Presents: Army Of The Pharaohs,0,Wedding Band,2012.0,I Love College (#1.2),Shut Up and Let Me Go,jules de martino/katie white + mother of the bride,0
1535,92458,628325,Wat Voor Weer Zou Het Zijn In Den Haag (3:48),AndrÃ© van Duin,0,Star Trek: Insurrection,1998.0,,Sonata No. 8 in C Minor. Opus 13. PathÃ©tique,ludwig van beethoven + jenÃµ jandÃ³ + piano + arrangement with source q,0
1537,92458,726349,Wat Voor Weer Zou Het Zijn In Den Haag (3:48),AndrÃ© van Duin,0,Wolfgang Ambros: Greatest Hits  ...So Far!,2003.0,,Hand in Hand,wolfgang ambros + andrÃ© heller + gÃ¼nter dzikowski,0
1561,128737,58318,Had I Known You Better Then (LP Version),Daryl Hall And John Oates,1996,Dancing with the Stars,2005.0,Latin Night (#18.7),Cant Remember to Forget You,rihanna + john hill + kid harpoon + daniel alexander + shakira,0
1568,128737,335897,Had I Known You Better Then (LP Version),Daryl Hall And John Oates,1996,A Special Olivia Newton-John,1976.0,,Have You Never Been Mellow,john farrar + olivia newton-john,0
1569,128737,404994,Had I Known You Better Then (LP Version),Daryl Hall And John Oates,1996,Danny Collins,2015.0,,Whatever Gets You Through the Night,john lennon,0
1594,878955,664102,Dear Little Town In The Old Country Down,Phil Coulter,0,The Hangover Part III,2013.0,,In the Air Tonight,phil collins + arrangement with warner music group film + tv licensing + virgin records ltd.,0
1599,960884,298466,Coming Up For Air,Michael Stanley,1996,Top of the Pops 2,1994.0,TOTP2 Presents the Nineties,(Everything I Do) I Do It for You,bryan adams + michael kamen + robert john lange,0
1601,960884,232420,Coming Up For Air,Michael Stanley,1996,Tatort,1970.0,SalÃ¼ Palu (#1.201),Stop for a minute,michael cretu + klaus hirschburger + sandra,0
1626,928837,347383,Water Music Suite No.1 for orchestra in F major_ HWV 348/IX. Minuet in D Major,New York Philharmonic;Pierre Boulez,0,American Teen,2008.0,,Adventures in Solitude,a.c. newman + the new pornographers,0
1637,960947,584526,Fiesta In Seville,David Rose And His Orchestra,2004,Public Access,2010.0,,Eggs in a Briar Patch,david byrne + arrangement with mold fig music + inc.,0
1644,936375,653459,Time Echoes,Richard Wahnfried,1979,The Cockettes,2002.0,,My Baby Wants to Charleston All the Time,richard koldewyn + barrett lindsay steiner,0
1654,960963,523718,Y Ya Tu Campana No Suena,Juan Formell y los Van Van,0,Los secretos - 30 aÃ±os,2007.0,,No vuelvas nunca mÃ¡s,los secretos,0
1658,949348,262180,Hallelujah! I Love Her So,Eddie Cochran & Gene Vincent,1988,The Porter Wagoner Show,1961.0,The Willis Brothers (#1.508),I Dreamed of a Hillbilly Heaven,hal sothern + eddie dean + the willis brothers,0
