_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold_labels
264,541044,177622,Intro 2005 Atlantic Recording Corp. Manufactured and Marketed by Warner Strategic Marketing.,Ray Barretto,0,Parenthood,2010.0,Amazing Andy and His Wonderful World of Bugs (#2.16),Love and Permanence,azure ray,0
2318,882609,83032,Strange Things,Freeland,2009,Entourage,2004.0,Buzzed (#7.2),Strange Things,adam freeland,1
304,909290,1638,You Can't Dance (LP Version),England Dan & John Ford Coley,1978,20 to 1,2005.0,Our All Time Favourite Films (#9.11),Hopelessly Devoted To You,olivia newton-john + john farrar,0
2007,953319,216769,Time (Jungle) (Temple of Soul Mix),Wax Poetic Feat. Saul Williams,2003,So You Think You Can Dance,2005.0,The Top 20 Finalists Perform (#10.8),Last Time,labrinth + marc williams,0
3058,889460,275562,Theme (The Duke) - Intro,The Dave Brubeck Quartet Featuring Paul Desmond,0,The Tonight Show Starring Johnny Carson,1962.0,(1975-07-30),Johnnys Theme,paul anka,0
2190,941273,234812,How Do You Catch A Girl,Sam The Sham & The Pharaohs,1998,That Girl,1966.0,Little Auction Annie (#1.8),That Girl Theme Song,sam denoff + earle hagen,0
4449,940859,652278,Maestoso (A Hymn In The Roof Of The World),Barclay James Harvest,1974,The Canyon,2009.0,,Back Of My Mind,jim reilley + james scott reilley,0
3616,276001,298466,I Love You More Every Day,John Mayall,2007,Top of the Pops 2,1994.0,TOTP2 Presents the Nineties,(Everything I Do) I Do It for You,bryan adams + michael kamen + robert john lange,0
4991,581213,250807,Love Me Or Leave Me,Gregory Isaacs & Dennis Brown,1989,The Knick,2014.0,Ten Knots (#2.1),Get Well Or Jump Off,cliff martinez + gregory tripi,0
835,812189,276996,I Like That You Can't Take That Away From Me,Jae Millz / Eric B. & Rakim / Mashonda / June Christy,0,The Tonight Show with Jay Leno,1992.0,(#18.103),Cooler Than Me,mike posner + eric hÃ¶lljes,0
508,107184,258749,Empty House,Phantom Planet,2004,The O.C.,2003.0,The Safe Harbor (#3.11),Our House,phantom planet,0
1942,961406,522125,Rock And Roll Doctor [Live Outtake],Little Feat,0,Lone Star,1996.0,,Im Blue and Lonsome,little walter + duke levine + mike turk + billy novick + marshall wood + tim jackson,0
3855,79668,538852,Blues (That Mean Old Twister),Lightnin Hopkins,1991,Merton,1984.0,,The Trouble Blues,lightnin hopkins,0
2736,544886,631413,Chinese Burn (Lunatic Calm mix),Curve,2004,Stormbreaker,2006.0,,Chinese Burn (Lunatic Calm Mix),toni halliday + dean garcia + curve,1
3056,889460,275456,Theme (The Duke) - Intro,The Dave Brubeck Quartet Featuring Paul Desmond,0,The Tonight Show Starring Johnny Carson,1962.0,(1974-06-21),Johnnys Theme,paul anka,0
627,951132,591561,I Get A Kick Out Of You,Louis Armstrong / Oscar Peterson / Herb Ellis / Ray Brown / Louie Bellson,0,Reet  Petite  and Gone,1947.0,,I KNOW WHAT YOURE PUTTIN DOWN,louis jordan + louis jordan   with his tympany five,0
2098,650425,40412,Hold Me My Darling - Original,Jerry Butler,0,Californication,2007.0,Exile on Main St. (#4.1),Check My Brain,jerry cantrell + alice in chains,0
2157,888031,353063,Right Of Way Blues,Blind Lemon Jefferson,1990,Around the Fire,1998.0,,Cant Find My Way Home,steve winwood + blind faith,0
4363,377961,154989,Lullaby of Broadway,The London Pops Orchestra,0,Miss Fishers Murder Mysteries,2012.0,Game  Set & Murder (#3.7),Whats the Use of Living Without Love,james hanley + joseph mccarthy + king oliver + his orchestra,0
3990,563319,254655,A Swingin Safari,Bert Kaempfert And His Orchestra,2003,The Match Game,1962.0,(#3.20),A Swingin Safari (The MATCH GamE),bert kaempfert,1
2287,929182,678451,The House Of Baraka,The Master Musicians of Jajouka featuring Bachir Attar,0,The Pillow Book,1996.0,,Invocations of Gompo,buddhist lamas + monks of the four great orders,0
3139,359890,639350,Stars Shine In Your Eyes (from La Strada),David Rose And His Orchestra,0,Talking Heads in concerto,1980.0,,Houses in Motion,david byrne + brian eno + chris frantz + jerry harrison + tina weymouth + talking heads,0
1834,961240,156176,To My Buddy_ Buddy,Fred Lonberg-Holm Trio,0,MisteRogers Neighborhood,1968.0,1517: Day Care and Night Care (#13.12),Wont You Be My Neighbor?,fred rogers,0
2034,945209,23240,Triagle Blues,New Roanoke Jug Band,0,Baseball,1994.0,A National Heirloom (#1.4),Chimes Blues,new black eagle jazz band,0
5063,696032,278245,Love Of A Lifetime,Larry Gatlin & The Gatlin Brothers Band,0,The Tonight Show with Jay Leno,1992.0,(#20.150),The Heart of Rock & Roll,johnny colla + huey lewis + the tonight show band,0
2856,946533,460732,Good Rockin' Tonight,Roy Brown,0,Gumshoe,1971.0,,Baby  Youre Good For Me,andrew lloyd webber + roy young,0
2765,778955,556551,Hard Time Empty Bottle Blues IV,John Fahey,2006,Night at the Museum: Secret of the Tomb,2014.0,,(Ive Had) The Time of My Life,franke previte + john denicola + donald markowitz + bill medley + jennifer warnes + arrangement with sony music licensing,0
3848,956208,12143,Today I Started Loving You Again,Dolly Parton / John Popper,1996,American Idol: The Search for a Superstar,2002.0,Top 13 Perform (#11.17),I Will Always Love You,dolly parton + jessica sanchez,0
2042,153443,577456,Isn't Life Strange,The Moody Blues,1972,Pirates of Silicon Valley,1999.0,,Isnt Life Strange,john lodge + the moody blues,1
1569,128737,404994,Had I Known You Better Then (LP Version),Daryl Hall And John Oates,1996,Danny Collins,2015.0,,Whatever Gets You Through the Night,john lennon,0
3659,947783,386430,Ride Of Your Life (New Jim Scott Mix),John Gregory,0,Casualties of War,1989.0,,Magic Carpet Ride,rushton moreve + john kay + steppenwolf,0
3954,563210,387243,Folsom Prison Blues,The John Evans Band,0,Celebration at Big Sur,1971.0,,Rainbows Over Your Blues,john sebastian,0
2110,519354,62566,This Little Light of Mine,Pete Seeger with Memphis Slim and Willie Dixon,0,De wereld draait door,2005.0,(#4.131),Little red rooster,willie dixon + lucky fonz iii,0
4018,948371,68827,Nobody Does It Better (Instrumental),Marvin Hamlisch,1977,Detroit 1-8-7,2010.0,Ice Man/Malibu (#1.11),Baby Dont You Do it,brian holland + lamont dozier + marvin gaye,0
3198,938850,569160,Requiem in D Minor K626 - Communion: Cum sanctis tuis,Scottish Chamber Orchestra/Sir Charles Mackerras,0,Over the Santa Fe Trail,1947.0,,Were Always in the Money but Still Were Always Broke,charles ward + the hoosier hotshots,0
2587,954279,77644,Deer in the headlights (DJ Hell Remix),Chelonis R. Jones,2006,Dust Up,2011.0,A Sprayers Paradise (#1.2),Riders in the Sky,jay semko + randy woods + stan jones,0
73,262236,632027,Untitled 1,Keane,2004,Strangers,2005.0,,Untitled 1,keane,1
4210,858536,96446,SNOW WHITE: A Tale Of Terror: Theme,John Ottman,0,Getaway,1992.0,(#19.3),Superman Theme,john williams,0
2469,85784,543992,The Honky Tonk Life I Lead,The John Evans Band,0,Money for Nothing,1993.0,,I Can Laugh About It Now,steve diamond + diamond mine band + joe turano,0
533,795332,704512,I Believe In Music,Mac Davis,1992,Tumbleweed Trail,1942.0,,What Can I Do?,johnny lange + lew porter + art davis,0
4024,6297,238349,Hard To Say Goodbye,Kevin Braheny,1990,The Big Bang Theory,2007.0,The Maternal Combustion (#8.23),Its the Hard Knock Life,charles strouse + simon helberg + kunal nayyar + kevin sussman,0
4358,907884,625519,Is It Wrong To Feel So Good (At This Time In My Life),Cliff Eberhardt,1993,Spawn,1997.0,,For Whom the Bell Tolls (The Irony of it All),james hetfield + lars ulrich + cliff burton + metallica,0
3886,919874,558763,Raindrops Keep Falling On My Head,Billy Joe Royal,0,Nobodys Perfect,1990.0,,Girls on the Run,the crybabys + simon stokes + billy cioffi,0
2666,949421,680833,Heart Of An Angel,The Jeff Healey Band,1992,The Real St. Nick,2012.0,,Heart Full Of Holly,jeff toyne + melissa r. kaplan,0
1981,478142,379008,Waves of Bliss (Featuring Steve Gorn),Paul Avgerinos,2006,BrÃ¼tal Legend,2009.0,,Wheels of Steel,biff byford + paul quinn + graham oliver + steve dawson + pete gill + saxon,0
3864,705069,218465,All I Really Want To Do,Bob Dylan,1964,Solid Gold,1980.0,(#5.37),Talk to Me,beau hill + bob pfeifer + fiona,0
4858,956992,465199,One Of Those Dreams,Michael Stanley Band,1982,Hatchet II,2010.0,,Just One Fix,michael balch + al jourgensen + paul barker + bill rieflin + ministry + arrangement with warner music group film + tv licensing,0
592,734682,694744,Ain't No Woman Like The One I Got,Jeff Golub Featuring Richard Elliot,2007,This Is 40,2012.0,,I Got You (At the End of the Century),jeff tweedy + wilco,0
1654,960963,523718,Y Ya Tu Campana No Suena,Juan Formell y los Van Van,0,Los secretos - 30 aÃ±os,2007.0,,No vuelvas nunca mÃ¡s,los secretos,0
2040,502852,650082,Press Darlings,Adam & The Ants,1981,The Blue Black Hussar,2013.0,,Press Darlings,adam ant,1
2291,396722,314484,Goodbye Mr. Love - Original,Warren Smith,0,WKRP in Cincinnati,1978.0,Til Debt Do Us Part (#3.21),The Book of Love,charles patrick + warren davis + george malone + the monotones,0
1669,747259,178317,In The Garden / O_ How I Love Jesus (I Love To Tell The Story Album Version),Mark Lowry,0,Parenthood,2010.0,Theres Something I Need to Tell You... (#4.5),Water of Love,mark knopfler + dire straits,0
3253,897945,273037,Multiply (In A Minor Key) Piano by Gonzales,Jamie Lidell,2006,The Tonight Show Starring Jimmy Fallon,2014.0,Jamie Foxx/Carla Gugino/Jamie Foxx feat. Kid Ink (#2.153),In Love By Now,jamie foxx + mitch catalyst cohn + travis sayles + j doe smith + robert crayton,0
1561,128737,58318,Had I Known You Better Then (LP Version),Daryl Hall And John Oates,1996,Dancing with the Stars,2005.0,Latin Night (#18.7),Cant Remember to Forget You,rihanna + john hill + kid harpoon + daniel alexander + shakira,0
3810,702210,149353,Love Is All Around (The Mary Tyler Moor Show Theme),Sonny Curtis,0,Mary Tyler Moore,1970.0,And Now  Sitting in for Ted Baxter (#2.9),Love Is All Around,sonny curtis,1
4788,343338,12568,Honey Don't (Live),Carl Perkins,0,American Masters,1985.0,Good Rockin Tonight: The Legacy of Sun Records (#16.5),Honey Dont,carl perkins,1
2425,453218,67453,Saia Indiscreta,FilarmÃ³nica Gil,0,Deixa-me Amar,2007.0,(#1.93),Saia indiscreta,filarmÃ³nica gil,1
4065,309498,45645,Medley: Lover Come Back To Me/(I Don't Stand) A Ghost Of A Chance With You/Just You_ Just Me,Charlie Shavers / Bill Harris / Charlie Ventura / Ralph Burns / Bill Arango / Curly Russell / Sid Catlett,0,Chuck,2007.0,Chuck Versus Tom Sawyer (#2.5),All Out of Love,air supply + graham russell + russell hitchcock,0
2380,372374,287587,My Life (Anthology Version),John Lennon,0,The X Factor,2004.0,Live Final (#2.29),(Ive Had) The Time of My Life,franke previte + john denicola + donald markowitz + bill medley + jennifer warnes,0
3719,915074,560198,Summertime Guajira,Ray Barretto - New World Spirit,0,Nothing Personal,1995.0,,In The Summertime,ray dorset + mungo jerry,0
1151,887762,252058,These Foolish Things (Remind Me Of You),Ray Conniff Singers,0,The Life and Legend of Wyatt Earp,1955.0,The Buntline Special (#1.16),The Legend of Wyatt Earp,harry warren + the ken darby singers,0
192,934140,19112,Close My Eyes,Sander van Doorn vs Robbie Williams,0,Australian Idol,2003.0,Top 10 Results Show (#3.20),My Generation,pete townshend + dan england + laura gissara + milly edwards + lee harding + roxane lebrasse + anne robertson + daniel spillane + kate dearaugo + james kannis + emily williams,0
1122,960174,365134,King of the Honky Tonks,Commander Cody And His Lost Planet Airmen,0,Best Foot Forward,1943.0,,The Flight of the Bumblebee,nikolai rimsky-korsakov + harry james + his orchestra  at the prom,0
2346,298566,649568,Fantasy Pieces_ Op. 12: VII. Dream Visions in F Major,Sviatoslav Richter_ Robert Schumann,0,The Big Trail,1930.0,,When Its Harvest Time in Peaceful Valley,robert martin + raymond mckee,0
2662,544793,710408,We Need Water,Charlotte Diamond,0,Urgh! A Music War,1981.0,,We Got the Beat,charlotte caffey + the go-gos,0
5191,417738,241964,Til I Get To You,Ricky Martin,2005,The Dean Martin Show,1965.0,(#6.14),You Are My Sunshine,jimmie davis + charles mitchell + dean martin + glen campbell,0
1756,756336,179464,All I Want,Michael W. Smith,2004,Pastor Mike Online,2011.0,What Is the Underground Church? (#1.197),Do You Hear What I Hear?,gloria shayne + michael hoggard,0
3661,947783,483155,Ride Of Your Life (New Jim Scott Mix),John Gregory,0,Imagine: John Lennon,1988.0,,A Day in the Life,john lennon + paul mccartney,0
4903,908749,549469,All My Money Gone,Henry Townsend,0,My Brother,2006.0,,After Youre Gone,henry creamer + turner layton + evan palazzo,0
5094,819000,698125,I Got Lost In His Arms [from 'Annie get Your Gun'],Ethel Merman / London Festival Orchestra and Chorus / Stanley Black,0,To Live & Ride in L.A.,2010.0,,Microphones in the Mattress,bobby moynahan + esli sugich + ballerina black,0
347,90188,615370,El Hombre De La Cima,JosÃ© Luis RodrÃ­guez,0,Silvio RodrÃ­guez  OjalÃ¡,2013.0,,Rabo de nube,silvio rodrÃ­guez,0
3068,889460,275724,Theme (The Duke) - Intro,The Dave Brubeck Quartet Featuring Paul Desmond,0,The Tonight Show Starring Johnny Carson,1962.0,(1977-01-27),Johnnys Theme,paul anka,0
2093,650425,166533,Hold Me My Darling - Original,Jerry Butler,0,New Zealand Idol,2004.0,Top 10 Performance Show: Idols Choice (#1.11),(You Make Me Feel Like) A Natural Woman,gerry goffin + carole king + jerry wexler + camillia temple,0
2892,958527,344594,Baby Come To Me,Regina Belle,1989,Almost,2008.0,,If She Wants Me,belle + sebastian,0
1442,903360,386430,The magic of love,Russell Watson / Lionel Richie / Jay Berliner / Jeff Bova / Royal Philharmonic Orchestra / John Lubbock,0,Casualties of War,1989.0,,Magic Carpet Ride,rushton moreve + john kay + steppenwolf,0
2501,954185,597724,The Love I Long For (November 30_ 1944 War Bond Rally San Diego_ Ca),Harry James & His Orchestra,0,Rocky V,1990.0,,Go For It! (Heart and Fire!),joey b. ellis + tynetta hare + michael kelly + james earley,0
1960,883867,15824,On The Wings Of Love,Jeffrey Osborne,1982,Are You Afraid of the Dark?,1990.0,The Tale of Oblivion (#6.11),Are You Afraid of the Dark? Theme,jeffrey zahn,0
4759,687385,52100,After Mendelssohn (137 Years) / Paint It Black / Arthur's Treat / Talking World War iii Blues / 89-90-91-92,Gavin Bryars / 1/2 Japanese / Simon Jeffes / Mark Perry / Michael Nyman,0,Criminal Minds,2005.0,The Sandman (#11.17),Criminal Minds (TV Show Intro / Main Song Theme),mark mancina,0
230,491826,713749,Riot On Sunset Strip,The Standells,1967,Vietcong,2002.0,,Riot On Sunset Strip,tony valentino + john fleckenstein + the standells,1
3865,705069,302045,All I Really Want To Do,Bob Dylan,1964,Top of the Pops,1964.0,(1985-12-25),Do They Know Its Christmas?,bob geldof + midge ure + band aid,0
1854,314077,107624,Up Love the Life Line,Texas Radio Band,0,Heartland,2007.0,Broken Heartland (#8.12),Speak of Love,sweet talk radio,0
479,754254,225570,Star Trek: First Contact- End Title,Jerry Goldsmith,0,Stargate: Atlantis,2004.0,McKay and Mrs. Miller (#3.8),Main Title,joel goldsmith,0
5117,900955,30746,M and M's #1,Magic Mike,0,Big Love,2006.0,Pilot (#1.1),Rock and Roll (The Hey Song),gary glitter + mike leander,0
3976,317521,712092,The Ride Of The Valkyries_ Op.wwv86b : Overture,Richard Wagner,0,Varsity Show,1937.0,,Sing  You Son of a Gun,richard a. whiting,0
1789,936598,421304,Put A Little Love In Your Heart (The Big Three),Harry J Allstars,2004,Dramatic School,1938.0,,It Happpened When Your Eyes Met Mine,harry akst,0
726,918219,19251,I Feel The Earth Move,Carole King,1971,Australian Idol,2003.0,Top 24 Group 4 Performance Show: Girls (#4.10),(You Make Me Feel Like) A Natural Woman,gerry goffin + carole king + jerry wexler + lavina williams,0
3930,890844,644308,I Think We're Alone Now,Tommy James And The Shondells,1967,The 420 Movie,2009.0,,Thats What I Like,james blackburn + steve derkson + fingernail juice (james blackburn + isaac mitchell + steve rubio),0
257,934247,149959,We Will Rock You (Live 2000),Queen & Five,0,Match of the Day: Euro 2016,2016.0,Highlights: England vs. Wales/Northern Ireland vs. Ukraine/Germany vs. Poland (#1.19),We Will Rock You,queen,1
305,909290,18356,You Can't Dance (LP Version),England Dan & John Ford Coley,1978,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kÃ¤lberer,0
703,959424,437631,Love In The Meantime,George Jones & Tammy Wynette,0,Fear No Evil,1981.0,,Anarchy in the UK,john lydon + steve jones + glen matlock + paul cook + the sex pistols,0
562,942830,560198,In The Summertime ,Mungo Jerry,1970,Nothing Personal,1995.0,,In The Summertime,ray dorset + mungo jerry,1
3968,776254,311815,Bonus Track: Skeleton Kiss (Iron Mask Sessions 92),Christian Death,0,Velvet,2013.0,No digas adiÃ³s (#3.10),Kiss Me Darling,christian padovan + stÃ©phane huguenin + yves sanna,0
2655,28686,151864,CorazÃ³n Contento,Palito Ortega,2004,MemÃ²ries de la tele,2007.0,(#5.24),CorazÃ³n contento,palito ortega + marisol,1
3131,359890,78718,Stars Shine In Your Eyes (from La Strada),David Rose And His Orchestra,0,EastEnders,1985.0,(2001-07-23),Fill Me In,craig david,0
2530,949414,298466,You're The One That I Want,John Travolta / Olivia Newton-John,1978,Top of the Pops 2,1994.0,TOTP2 Presents the Nineties,(Everything I Do) I Do It for You,bryan adams + michael kamen + robert john lange,0
4239,842213,493151,High School Confidential,Albert Lee / Joe Hammer / Chas Hodges / Pete Robinson / B.J. Cole / Drew Croon / John Gustafson / Mick Kellie,1957,John Legend: Live from Philadelphia,2008.0,,So High,john legend,0
678,754573,13244,Cuando Nadie Me Ve,Alejandro Sanz,2001,Amores verdaderos,2012.0,Asesinar a Cristina (#1.109),No me compares,alejandro sanz,0
1115,868635,642619,First Time I Met The Blues,Buddy Guy,1970,Thanks for Listening,1937.0,,I Like to Make Music,connie lee + al heath + buddy la roux + pinky tomlin,0
4351,916055,341418,Aint Misbehavin',Fats Waller,0,Aint Misbehavin,1941.0,,Aint Misbehavin,fats waller + harry brooks + myra johnson + band + dancers,1
2754,954550,588410,Bitch_ I Love You,Black Joe Lewis & The Honeybears,0,Raggedy Ann & Andy: A Musical Adventure,1977.0,,I Never Get Enough,joe raposo + joe silver,0
2570,946041,200111,Heal Our Land (Song For The National Day Of Prayer),Michael Card,0,Sailor Moon,1995.0,,Its a New Day,michael benghiat + john miyagi author + andy heyward + jennifer cihi,0
3183,13116,172057,Powder Your Face With Sunshine (Smile! Smile! Smile!),Frank Sinatra and Dean Martin,0,One Hit Wonderland,2012.0,To Be with You by Mr. Big (#2.9),To Be With You,eric martin + david grahame + westlife,0
2953,905748,643340,Walking away (con Craig David) (Version album A. Ubago),Alex Ubago,0,Thats My Boy,2012.0,,Dance The Night Away,edward van halen + alex van halen + michael anthony + david lee roth + van halen + arrangement with warner music group film + tv licensing,0
3214,439142,44045,Love Is In The Air (Fran Mix),John Paul Young,1997,Cesko hledÃ¡ SuperStar,2004.0,TretÃ­ semifinÃ¡le: Kluci (#3.15),Can You Feel the Love Tonight,elton john + tim rice + zbynek drda,0
643,852833,643340,Silent Night (wrds. Joseph Mohr_ trans. & arr. Willcocks) (1991 Digital Remaster),Stephen Varcoe/Choir of King's College_ Cambridge/Sir David Willcocks,0,Thats My Boy,2012.0,,Dance The Night Away,edward van halen + alex van halen + michael anthony + david lee roth + van halen + arrangement with warner music group film + tv licensing,0
4428,908054,389067,Days Go By,Keith Urban,2004,Chasing Madoff,2010.0,,Indiana Days,keith nichols,0
4397,154270,667201,What'll I Do?,Johnny Mathis,1992,The Jane Austen Book Club,2007.0,,Youre All I Have,gary lightbody + nathan connolly + tom simpson + johnny quinn + snow patrol,0
5168,810942,455760,People Will Say We're in Love,Gordon MacRae & Shirley Jones With Jay Blackton And His Orchestra,0,Goodbye  Mr. Chips,1969.0,,Fill the World With Love,leslie bricusse + orchestra + boys chorus,0
2429,282329,470544,The Corner Of Walk And Don't Walk,8 Bold Souls (Ft. Edward Wilkerson_ Jr.),0,Hilary and Jackie,1998.0,,Concerto for Violoncello and Orchestra in E Minor  Opus 85,edward elgar + the philadelphia orchestra + jacqueline du prÃ©,0
2544,520600,389866,Shock Of Mighty,Dave Barker / The Upsetters,0,Chess,2003.0,,Kvartet - En fÃ¶rebild fÃ¶r dygd och hÃ¶gsta ambition (Quartet - A model of decorum and tranquillity),per myberg / helen sjÃ¶holm / rolf skoglund / tommy kÃ¶rberg,0
2474,85784,204222,The Honky Tonk Life I Lead,The John Evans Band,0,Scene at 6:30,1963.0,(1964-10-16),I Should Have Known Better,john lennon + paul mccartney + the beatles,0
1107,853650,369903,(You Make Me Feel Like) A Natural Woman,Lisa Bund,2007,Blame It on Rio,1984.0,,Alone With Me,lisa roberts gillan + kenneth wannberg,0
5004,925286,660540,Living In A World I Created For Myself,Jimmy Ruffin,1989,The Ford 50th Anniversary Show,1953.0,,I Cant Give You Anything but Love,jimmy mchugh,0
2193,347430,664804,Black Girl White Girl,Lords Of The New Church,1983,The Hidden,1987.0,,Black Girl White Girl,stiv bators + brian james + the lords of the new church,1
48,942143,337771,The Way You Do The Things You Do,Little Richard,0,ATL,2006.0,,Do It to It,rodney richard + john williams + sean paul joseph + farrah king + neosha king + cherish + sean paul + arrangement with sony bmg music entertainment,0
2626,757705,210340,Baby Love,The Supremes,1964,Shindig!,1964.0,(#1.25),Stop! In the Name of Love,lamont dozier + brian holland + edward holland + denzil foster + thomas mcelroy + the supremes,0
2484,659252,500934,It's Time To Go Home,Marty Stuart And His Fabulous Superlatives,0,Killer: A Journal of Murder,1995.0,,I LIKE TO PET,bill elliott + his orchestra + frederick hodges,0
3705,956009,220286,Come On In Love,Barry White,1995,Soul Train,1971.0,Stephanie Mills/Force MDs (#17.26),Your Love Drives Me Crazy,james edward white + jr. + force m.d.s,0
4728,941300,234156,Sevillanas de Triana. Rojo amapola,Miguel de los Reyes - JosÃ© Manuel RoldÃ¡n,0,TelevisiÃ³n registrada,1999.0,Andy Chango (#15.8),HÃ©roes de Malvinas,andrÃ©s ciro martÃ­nez + ciro y los persas,0
1487,307579,257468,Autumn Leaves,Nat King Cole,1954,The Nat King Cole Show,1954.0,(#1.5),Autumn Leaves,joseph kosma + nat king cole,1
1537,92458,726349,Wat Voor Weer Zou Het Zijn In Den Haag (3:48),AndrÃ© van Duin,0,Wolfgang Ambros: Greatest Hits  ...So Far!,2003.0,,Hand in Hand,wolfgang ambros + andrÃ© heller + gÃ¼nter dzikowski,0
3397,947331,571615,Give It Up Or Turnit A Loose,James Brown / The J.B.'s,0,Pardon My Rhythm,1944.0,,Youve Got to Hand It to the Band,inez james + sidney miller,0
5179,810942,677253,People Will Say We're in Love,Gordon MacRae & Shirley Jones With Jay Blackton And His Orchestra,0,The Oxford Murders,2008.0,,Orchestral Suite nÂº1 in C Major  BMW 1006:1 Overture,johann sebastian bach + felix prohaska + vienna state opera orchestra,0
1599,960884,298466,Coming Up For Air,Michael Stanley,1996,Top of the Pops 2,1994.0,TOTP2 Presents the Nineties,(Everything I Do) I Do It for You,bryan adams + michael kamen + robert john lange,0
3290,234475,724432,Lost Highway,Bon Jovi,2007,Wild Hogs,2007.0,,Lost Highway,jon bon jovi + richie sambora + john shanks + bon jovi,1
2579,937877,30792,Oh Happy Day,Edwin Hawkins,2001,Big Love,2006.0,The Writing on the Wall (#2.2),Oh Happy Day,philip doddridge + the edwin hawkins singers,1
3270,422848,537590,(LIVE) Bist du dabei_ Wie lebendig sie war_ Wenn wir GlÃ¼ck haben,Bernd Begemann & die Befreiung,0,Mein Schatz komm mit ans blaue Meer,1959.0,,So lang du einen Freund hast,werner scharfenberger + die blauen jungs,0
3681,800333,367670,I Can't Go For That (No Can Do),Daryl Hall & John Oates,1981,Biggest Band Breakups and Make Ups,2015.0,,We Can Work It Out,john lennon + paul mccartney + the beatles,0
1729,838233,441960,I Guess The Lord Must Be In New York City,Harry Nilsson,1989,Fog Over Frisco,1934.0,,Why Do I Dream Those Dreams?,harry warren,0
211,57633,629878,My Baby Came Back On The Last Wave Today,The Malibooz,0,Step Into Liquid,2003.0,,Call of the Wave,malibooz,0
2076,437384,331598,They Call It Stormy Monday (But Tuesday Is Just as Bad),John Hammond,1967,A Bright Shining Lie,1998.0,,Monday  Monday,john phillips + the mamas + the papas  (as the mamas + the papas),0
4349,858710,179464,That's What Faith Must Be (Present Reality Album Version),Michael Card,0,Pastor Mike Online,2011.0,What Is the Underground Church? (#1.197),Do You Hear What I Hear?,gloria shayne + michael hoggard,0
4104,375078,406324,Hidden Houses,Dave Gahan,2003,Dave Gahan: Live Monsters,2004.0,,Hidden Houses,dave gahan + know chandler,1
978,763294,517285,Shuffle Off To Buffalo,Hal Kemp and his Orchestra,0,Lets Make Rhythm,1947.0,,Concerto To End All Concertos,stan kenton + his orchestra,0
3759,582751,627978,Hey Girl (LP Version),Michael McDonald,0,Standing Ovation,2010.0,,Dancing Girl,edward b. kessel + sandy linzer + michael pericoloso + london clark + erika corvette + ashley cutrona + devon jordan + jeana zettler,0
