_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold_labels
2224,609615,173022,My Opening Farewell (Live),Bonnie Raitt With Jackson Browne,0,One Tree Hill,2003.0,I Cant See You  But I Know Youre There (#8.2),Cant Take My Eyes Off You,cary brothers  with jason kanakis,0
2030,945202,294922,Just Another Sad Song,The Warren Brothers,1998,Tiny Toon Adventures,1990.0,Inside Plucky Duck (#1.39),The Gold Diggers Song (Were in the Money),harry warren,0
676,910211,232107,Short Shorts,Royal Teens,1986,Tamori kurabu,1982.0,Anniversary Billboard (#1.800),Short Shorts,the royal teens,1
3129,21225,121600,Dont Break My Heart,Silicon Dream,1998,Inuyasha,2000.0,,My Will,mai matsumuro + y@suo ohtani + dream,0
1094,960127,472871,Slow It Down (Amended Version),Little Brother,2005,Hollywoodland,2006.0,,The Girl Cant Help It,bobby troup + little richard,0
4747,924934,297680,I Love U (Antony Reale & Funky Junction Remix - Funky Junction Big Room Dub Edit) (Antony Reale & Funky Junction Remix - Funky Junction Big Room Dub Edit),Larry Tee,0,Tohuwabohu,1990.0,Seite 17 (#4.5),Let Your Love Flow,larry williams + bellamy brothers,0
5141,958447,98487,Blow Up Your TV (Spanish Pipe Dream),John Denver,1972,Glee,2009.0,Feud (#4.16),The Bitch is Back / Dress You Up,elton john + bernie taupin + andrea larusso + peggy stanziale + alex newell + blake jenner,0
327,590264,166533,Medley: This Magic Moment / Dance With Me / There Goes My Baby / Save The Last Dance For Me,Ben E. King,0,New Zealand Idol,2004.0,Top 10 Performance Show: Idols Choice (#1.11),(You Make Me Feel Like) A Natural Woman,gerry goffin + carole king + jerry wexler + camillia temple,0
2622,372663,40412,Check My Brain,Alice In Chains,2009,Californication,2007.0,Exile on Main St. (#4.1),Check My Brain,jerry cantrell + alice in chains,1
1712,862768,125988,Green Movement,Ludwig Coenen,0,K-Pop the Ultimate Audition,2012.0,(#1.4),9th Symphony  4th movement,ludwig van beethoven,0
2390,626338,429535,Love Story: Main Title Theme (arr. A. Vinter),Carl Davis,0,Elvis: Love Me Tender - The Love Songs,2009.0,,What Now My Love,gilbert bÃ©caud + pierre delanoÃ« + carl sigman + elvis presley,0
1507,939734,287013,The Academy In Peril,John Cale,1972,The X Factor,2004.0,Auditions 6 (#4.6),One Moment in Time,albert hammond + john bettis + whitney houston,0
1601,960884,232420,Coming Up For Air,Michael Stanley,1996,Tatort,1970.0,SalÃ¼ Palu (#1.201),Stop for a minute,michael cretu + klaus hirschburger + sandra,0
1075,910930,325301,Les hommes que j'aime,La Rue KÃ©tanou,2002,Ãnima,2009.0,(#2.52),Que algÃº marqui un gol,la increÃ¯ble histÃ²ria de carles carolina,0
1594,878955,664102,Dear Little Town In The Old Country Down,Phil Coulter,0,The Hangover Part III,2013.0,,In the Air Tonight,phil collins + arrangement with warner music group film + tv licensing + virgin records ltd.,0
4079,309498,500934,Medley: Lover Come Back To Me/(I Don't Stand) A Ghost Of A Chance With You/Just You_ Just Me,Charlie Shavers / Bill Harris / Charlie Ventura / Ralph Burns / Bill Arango / Curly Russell / Sid Catlett,0,Killer: A Journal of Murder,1995.0,,I LIKE TO PET,bill elliott + his orchestra + frederick hodges,0
4689,408788,295730,There's A Story In Your Voice,Elvis Costello & The Imposters,2004,Toast of the Town,1948.0,(#10.16),Peace in the Valley,thomas a. dorsey + elvis presley,0
2633,364511,204602,The Messiah_ HWV 56: Hallelujah Chorus,Atlanta Symphony Orchestra,0,Scream Queens,2015.0,Scream Again (#2.1),The Messiah  HWV 56: Hallelujah Chorus,london philharmonic orchestra,0
1193,927505,376262,Medley 'Rescate Tipico' No.1: Pajaro Perlu / Fiesta Y Serrucho / El Diente De Oro / Abusadora,Los Toros Band,0,Breathing Room,1996.0,,Popurri Navideno - El Cascabel,los toros band,0
4019,948371,581632,Nobody Does It Better (Instrumental),Marvin Hamlisch,1977,Practical Magic,1998.0,,Got To Give It Up,marvin gaye + arrangement with polygram film + tv music,0
3237,930695,732092,Black & White,David Devant and His Spirit Wife,2006,Ziggy Stardust and the Spiders from Mars,1973.0,,White Light/White Heat,david bowie + david bowie   (as ziggy stardust + the spiders from mars),0
920,927004,584526,Could It Be I'm Falling In Love,David Grant & Jaki Graham,1985,Public Access,2010.0,,Eggs in a Briar Patch,david byrne + arrangement with mold fig music + inc.,0
2322,28201,154989,Promise Me Your Love,Margie Joseph,0,Miss Fishers Murder Mysteries,2012.0,Game  Set & Murder (#3.7),Whats the Use of Living Without Love,james hanley + joseph mccarthy + king oliver + his orchestra,0
1150,887762,252128,These Foolish Things (Remind Me Of You),Ray Conniff Singers,0,The Life and Legend of Wyatt Earp,1955.0,Until Proven Guilty (#6.27),The Legend of Wyatt Earp,harry warren + the ken darby singers,0
2142,928982,200733,Little Road and a Stone to Roll (LP Version),John Stewart,0,Sanjay and Craig,2013.0,Man of Squel/Songjay (#3.15),Sanjay and Craig Theme Song,james dirschberger + jay howell + sean szeles + andreas trolf + john dwyer + chris hardwick + maulik pancholy,0
194,950527,242257,Suite for Violin and Orchestra in A minor_ Op. 10 (Suite im alten Stil) (1995 Digital Remaster): III.   Tempo giusto,Itzhak Perlman/Pittsburgh Symphony Orchestra/AndrÃ© Previn,0,The Dinah Shore Chevy Show,1956.0,The Dinah Shore Show (#7.8),Lets Fall in Love,ted koehler + harold arlen + dinah shore + bobby darin + andrÃ© previn,0
1014,959971,369925,Bring Your Heart,Angie Stone / Diamond Stone,2002,Blanc comme neige,2010.0,,Color Your World,abel / kloze,0
3888,919874,344034,Raindrops Keep Falling On My Head,Billy Joe Royal,0,All You Need,2001.0,,Leaves On Water,jennifer freebairn + joe zimmerman + dave levison,0
2099,650425,225043,Hold Me My Darling - Original,Jerry Butler,0,Star Trek: Voyager,1995.0,Tinker Tenor Doctor Spy (#6.4),Star Trek: Voyager - Main Title,jerry goldsmith + jay chattaway,0
938,943404,400149,You're the Dream Unicorn! - Live (KXLU 2006) [Bonus Track],The Blood Brothers,0,Crazy Mama,1975.0,,All I Have To Do Is Dream,felice bryant + boudleaux bryant + the everly brothers,0
5216,958458,323088,Dare Me (DJ Chus And David Penn Dubsonic Mix),Kathy Brown vs. Miami Calling,0,Yu-Gi-Oh! The Abridged Series,2006.0,Eternal Sunshine of the Spotless Mai (#2.21),People Get Up and Drive Your Funky Soul,james brown,0
68,946004,277490,Move That Thing,The Memphis Jug Band,1995,The Tonight Show with Jay Leno,1992.0,(#19.180),Get Up Offa That Thing,deanna brown + deidra jenkins + yamma brown + the tonight show band,0
1761,952952,401229,Gutten i rÃ¸yken,Dumdum Boys,2009,Crossroads,2002.0,,So Have I For You,nikka costa + mike d + matt dike + adam horovitz + beastie boys,0
1484,248025,196502,I Can't Drive 55,Sammy Hagar,1984,Rock & Roll Road Trip with Sammy Hagar,2016.0,Cabo Birthday Bash (#1.6),I Cant Drive 55,sammy hagar + the circle,1
4097,801028,714795,C'est Mon P'tit Doigt (Revue Du Casino De Paris ''Paris En Joie''),Maurice Chevalier,0,Vive la France,1974.0,,Paris je taime,maurice chevalier,1
1885,289581,195160,But You Know I Love You,Dolly Parton,1980,Revealed,2006.0,Dolly Parton,Do I Ever Cross Your Mind,dolly parton,0
3250,947093,642619,Jesus_ I Am Yours/I Surrender All,Al Denson,0,Thanks for Listening,1937.0,,I Like to Make Music,connie lee + al heath + buddy la roux + pinky tomlin,0
2416,914039,579421,Acting This Way,Robert Cray,2008,Police Academy 4: Citizens on Patrol,1987.0,,It Doesnt Have To Be This Way,the blow monkeys + dr. robert,0
3407,921908,77172,The Good Life,Tony Orlando & Dawn,1971,DuckTales,1987.0,Spies in Their Eyes (#1.12),Hi-Diddle-Dee-Dee (An Actors Life for Me),leigh harline + ned washington + tony anselmo  ,0
4763,687385,648046,After Mendelssohn (137 Years) / Paint It Black / Arthur's Treat / Talking World War iii Blues / 89-90-91-92,Gavin Bryars / 1/2 Japanese / Simon Jeffes / Mark Perry / Michael Nyman,0,The Beacon,2009.0,,Wish It Now,elaine hendrix + michael wicz petrolawitcz + conrad sanguineti + angelo doc valasquez,0
4249,784876,12143,Just Someone I Used To Know,Porter Wagoner and Dolly Parton,1989,American Idol: The Search for a Superstar,2002.0,Top 13 Perform (#11.17),I Will Always Love You,dolly parton + jessica sanchez,0
767,959509,270191,Such Is Love_ Such Is Life,Smokey Robinson & The Miracles,0,The Sopranos,1999.0,The Happy Wanderer (#2.6),Love is Strange,mickey baker + sylvia robinson + ethel smith + mickey + sylvia,0
5180,221124,530696,Mohammad Ka Hai Har,Sabri Brothers,0,Main Hoon Na,2004.0,,Tumse Milke Dil Ka Hai,anu malik + sonu nigam + aftab sabri,0
1644,936375,653459,Time Echoes,Richard Wahnfried,1979,The Cockettes,2002.0,,My Baby Wants to Charleston All the Time,richard koldewyn + barrett lindsay steiner,0
982,943521,322399,The Day Hell Broke Loose At Sicard Hollow,Maylene And The Sons Of Disaster,2007,You Bet Your Life,1950.0,(#2.20),Old Folks At Home,stephen foster + television orchestra under the leadership of buddy collette,0
1805,961194,236562,This Can't Be Love,Frank Sinatra_ Dean Martin and Sammy Davis Jr,0,The Avengers,1961.0,Mission to Montreal (#2.5),Love Is a Many-Splendored Thing,sammy fain,0
302,803239,345013,Casanova's Got The Blues,Richard Clapton,1976,Along Came Daffy,1947.0,,Aint We Got Fun,richard a. whiting,0
5155,810942,564207,People Will Say We're in Love,Gordon MacRae & Shirley Jones With Jay Blackton And His Orchestra,0,Old Natchez on the Mississippi,1939.0,,A-Hunting We Will Go,the studio orchestra,0
3818,931605,11763,Have I Told You Lately That I Love You (First Ever Demo Cut To 78rpm Disc),Billy Fury,0,American Idol: The Search for a Superstar,2002.0,Jump  Jive and Fail! (#1.15),The Glory of Love,billy hill + christina christian,0
4893,351685,406770,The Next Step Is Love,Elvis Presley,1970,Daydream Believers: The Monkees Story,2000.0,,Love Me Tender,elvis presley + ken darby   ),0
4754,908566,320863,Ready Or Not (Jaydee Remix),DJ Dado & Simone Jay,0,Workaholics,2011.0,Orgazmo Birth (#4.1),Monster! (SubVibe Remix),dj russ p,0
5193,417738,77934,Til I Get To You,Ricky Martin,2005,ER,1994.0,Somebody to Love (#13.3),Youre Nobody Till Somebody Loves You,james cavanaugh + russ morgan + larry stock + dean martin,0
3045,889460,275425,Theme (The Duke) - Intro,The Dave Brubeck Quartet Featuring Paul Desmond,0,The Tonight Show Starring Johnny Carson,1962.0,(1974-03-13),Johnnys Theme,paul anka,0
3331,951130,241964,You Won't Let Me Go (feat. Charles Brown),Johnny Moore's Three Blazers featuring Charles Brown,0,The Dean Martin Show,1965.0,(#6.14),You Are My Sunshine,jimmie davis + charles mitchell + dean martin + glen campbell,0
1535,92458,628325,Wat Voor Weer Zou Het Zijn In Den Haag (3:48),AndrÃ© van Duin,0,Star Trek: Insurrection,1998.0,,Sonata No. 8 in C Minor. Opus 13. PathÃ©tique,ludwig van beethoven + jenÃµ jandÃ³ + piano + arrangement with source q,0
4509,932744,471584,Moon To The Sea,Peter and The Wolf,0,Hold Back the Night,1999.0,,Urge to Breath,peter john vettese + sara jay + grand theft audio,0
903,959760,437631,In The Name Of The Holocaust: A. 3'36,John Cage,0,Fear No Evil,1981.0,,Anarchy in the UK,john lydon + steve jones + glen matlock + paul cook + the sex pistols,0
2041,134226,47706,Beast Of Burden,The Rolling Stones,1978,Cold Case,2003.0,Shattered (#7.22),Beast Of Burden,mick jagger + keith richards + the rolling stones,1
380,770549,210964,Breaking and Entering,Brian Tyler,2009,Shindig!,1964.0,(#1.49),Concrete and Clay,tommy moeller + brian parker + eddie rambeau,0
4517,957340,664804,The All American Girl,Top Of The Fair,0,The Hidden,1987.0,,Black Girl White Girl,stiv bators + brian james + the lords of the new church,0
3083,946825,384495,The Sun Ain't Gonna Shine Anymore,David Bisbal,0,Captain Mike Across America,2007.0,,Im Not Gonna Save You,written eli david pervere miller + john weis zox + daniel joshua edinburg + spencer dalles swain + zox,0
730,541671,225011,Main Title,Jerry Goldsmith,1966,Star Trek: Voyager,1995.0,Someone to Watch Over Me (#5.22),Star Trek: Voyager - Main Title,jerry goldsmith + jay chattaway,0
2248,806255,651840,Just When You Thought You Won You Lost (feat. Lil Raider_ B-Dawg & Mo Jack Daniels),Big Tone_ Lil Raider_ B-Dawg_ Mo Jack Daniels,0,The Butchers Wife,1991.0,,JUST FOR A THRILL,lil armstrong + don raye + ray charles + arrangement with warner special products,0
3631,276001,384495,I Love You More Every Day,John Mayall,2007,Captain Mike Across America,2007.0,,Im Not Gonna Save You,written eli david pervere miller + john weis zox + daniel joshua edinburg + spencer dalles swain + zox,0
4475,949085,472922,Cruel Way To Go Down,Allen Toussaint,1975,Holy Musical B@man!,2012.0,,The American Way,nick gage + scott lamps + brian holden + joe walker + jeff blim + meredith stepien + chris allen,0
4613,261232,80543,Ayes De Amor En El Rio,Miguel Aceves Mejia Con El Mariachi Vargas De Tecalitlan,0,El coro de la cÃ¡rcel,2006.0,(#2.3),Maneras de vivir,rosendo mercado + ramiro penas + josÃ© a. urbano + miguel a. campos,0
705,959424,521023,Love In The Meantime,George Jones & Tammy Wynette,0,Live from Austin Tx: Norah Jones,2008.0,,Creepin In,lee alexander + norah jones + m. ward,0
2752,954550,543992,Bitch_ I Love You,Black Joe Lewis & The Honeybears,0,Money for Nothing,1993.0,,I Can Laugh About It Now,steve diamond + diamond mine band + joe turano,0
1384,960613,532392,Symphony No. 6 in C major_ D589: Second movement: Andante,Sir Thomas Beecham/Royal Philharmonic Orchestra,0,Man on Wire,2008.0,,In The Hall Of The Mountain King,edvard grieg + philadelphia orchestra,0
2294,568755,107648,A Life On The Ocean Wave,The Band of HM Royal Marines,0,Heartland,2007.0,Little Secrets (#3.2),Life,morgan cameron ross + birds of wales,0
1272,938270,644243,Shut Up And Drive,New Duncan Imperials,0,The 40th Annual Tony Awards,1986.0,,You Could Drive a Person Crazy,stephen sondheim + sandy duncan + juliet prowse + ann reinking,0
4990,581213,480663,Love Me Or Leave Me,Gregory Isaacs & Dennis Brown,1989,Ill Get By,1950.0,,You Make Me Feel So Young,josef myrow + gloria dehaven + dennis day,0
787,603158,676702,Deep Ocean Vast Sea,Peter Murphy,1989,The Opening Farewell,2010.0,,Lunar Sea,andrew latimer + peter bardens + camel,0
446,230837,73475,I Believe In Santa Claus,Dolly Parton & Kenny Rogers,0,Dolly,1987.0,(#1.8),I Will Always Love You,dolly parton,0
1723,117331,662614,The Whiffenpoof Song (Baa! Baa! Baa!),Rudy Vallee,2007,The Good Shepherd,2006.0,,The Whiffenpoof Song (Baa! Baa! Baa!),george s. pomeroy + meade minnigerode + tod b. galloway + rev. by rudy vallee,1
356,958928,628325,Hottest Party In Town (Album Version),My Life With The Thrill Kill Kult,0,Star Trek: Insurrection,1998.0,,Sonata No. 8 in C Minor. Opus 13. PathÃ©tique,ludwig van beethoven + jenÃµ jandÃ³ + piano + arrangement with source q,0
3869,959355,163171,O Little Town Of Bethlehem,Kevin Max,0,Mystery Science Theater 3000,1988.0,Last of the Wild Horses (#7.11),Green  Green Grass of Home,curly putman + kevin murphy,0
3158,706689,177622,Like Someone In Love,Ray Brown Trio / Ralph Moore,1991,Parenthood,2010.0,Amazing Andy and His Wonderful World of Bugs (#2.16),Love and Permanence,azure ray,0
206,950539,726337,Boy Inside The Man (acoustic version),Tom Cochrane,1997,Wolfen,1981.0,,Jitterbug Boy,tom waits,0
3027,799343,1220,Love Song For No One,John Mayer,0,20 to 1,2005.0,Great Aussie Movies (#3.5),Love Is In The Air,john paul young + harry vanda /george young,0
2816,938292,492863,U Don't Danse To Tekno Anymore,Alabama 3,0,Joe Strummer: The Future Is Unwritten,2007.0,,You Dont Dance To Techno Anymore,alabama 3,1
229,958768,232420,Waiting For Daddy / Sam Lowry's Wetter Dream 'The Monoliths Erupt,Michael Kamen,2006,Tatort,1970.0,SalÃ¼ Palu (#1.201),Stop for a minute,michael cretu + klaus hirschburger + sandra,0
1320,960528,416789,I Want to Say,Plaisir de France,0,Divas of Disco,2007.0,,Come to Me,antonio diverdis + france joli,0
5190,417738,172057,Til I Get To You,Ricky Martin,2005,One Hit Wonderland,2012.0,To Be with You by Mr. Big (#2.9),To Be With You,eric martin + david grahame + westlife,0
3572,612606,523073,Noche En La Ciudad,Los Prisioneros,1990,Los Bunkers: Vida de Perros,2006.0,,La exiliada del sur,violeta parra + patricio manns + inti-illimani histÃ³rico + los bunkers,0
4826,630122,641753,El Beso De La Vida,Manuel Carrasco,0,Tercio de quites,1951.0,,Tercio de quites,juan quintero + rafael de leÃ³n + manuel l. quiroga + the orquesta acroama,0
3415,947384,703302,Blood Red Earth,Susan Aglukark,2006,Tromeo and Juliet,1996.0,,Red River Waltz Overture,susan voelz,0
3188,930621,458474,Standing On The Corner Of The Third World,Tears For Fears,1989,Gray Matters,2006.0,,All Kinds of Love,leslie mills + chris pelcer + arrangement with music for the masses,0
5032,671415,538738,Give My Regards To Broadway,Barry Manilow,1992,Merely Players,2000.0,,My Old Dutch,barry morse,0
2648,880638,586645,Little Black Book,Jimmy Dean,2004,Queen of Hearts,1936.0,,One of the Little Orphans of the Storm,william haines + jimmy harper,0
3700,862481,101354,Stake Of My Soul,Sopor Aeternus & The Ensemble Of Shadows,1991,Gotham,2014.0,The Fearsome Dr. Crane (#1.14),Trouble In My Way,the cast of gotham,0
4336,182707,478093,Searching With My Good Eye Closed,Soundgarden,1991,Hype!,1996.0,,Searching With My Good Eye Closed,chris cornell + soundgarden,1
4733,941300,89025,Sevillanas de Triana. Rojo amapola,Miguel de los Reyes - JosÃ© Manuel RoldÃ¡n,0,Festival del Huaso de OlmuÃ©,1984.0,(1996-01-20),Hijos de la tierra,los jaivas,0
5040,958143,191557,I Belong To Glasgow,Ramblin' Jack Elliott,1998,Rage,1987.0,Lanie Lane Guest Programs Rage,Another Way to Die,jack white + alicia keys,0
423,786978,726861,Simple Man,Lynyrd Skynyrd,1973,Woodlawn,2015.0,,Simple Man,gary rossington + ronnie van zant + lynyrd skynyrd,1
857,959680,581535,I Think I'm Going To Want To Need That,De La Hoya,0,Powder Room,2013.0,,Going Even Deeper,cest la soupe,0
1133,952001,680601,Little Girl (1993 Digital Remaster),The King Cole Trio,0,The Range Busters,1940.0,,Get Along Little Cowboy,johnny lange + lew porter + john dusty king,0
4538,957376,467712,I Want To Make The World Turn Around,Steve Miller Band,1986,Hell on the Battleground,1988.0,,I Belive In The Battle,steve mcclintock + tim james + patricia pitts,0
3023,799343,330965,Love Song For No One,John Mayer,0,88,2015.0,,ONE,aleka si mei swanson + ruby kato attwood + brendan swanson + angela loft + john ancheta,0
284,957165,29447,Sonata in A minor - Allegretto ben Moderato,Paul Fried  - Mark Kroll,0,Ben et Thomas,2008.0,Ben et Martine (#1.2),Sharper Than Ben,daniel woods + the lovely mark lovely,0
4607,957436,721433,1. Allegro non molto,Eduardo Fernandez / English Chamber Orchestra / George Malcolm,0,Whatever Works,2009.0,,Symphony No. 9 in D Minor  Op. 125 Choral - Molto Vivace,ludwig van beethoven + royal philharmonic orchestra,0
4070,309498,389866,Medley: Lover Come Back To Me/(I Don't Stand) A Ghost Of A Chance With You/Just You_ Just Me,Charlie Shavers / Bill Harris / Charlie Ventura / Ralph Burns / Bill Arango / Curly Russell / Sid Catlett,0,Chess,2003.0,,Kvartet - En fÃ¶rebild fÃ¶r dygd och hÃ¶gsta ambition (Quartet - A model of decorum and tranquillity),per myberg / helen sjÃ¶holm / rolf skoglund / tommy kÃ¶rberg,0
4417,932588,725213,Forever And A Day (Album),Boy Hits Car,2005,Wine  Women and Horses,1937.0,,With Plenty of Money and You,harry warren + barton maclane  in the car,0
3357,693317,649185,Worried Man blues,Big Joe Williams,1936,The Big Hit,1998.0,,Im the Man,joe jackson + buck-o-nine,0
2209,953668,249493,Show Me Love,Steve Angello & Laidback Luke Feat. Robin S,2009,The Jack Benny Program,1950.0,Smothers Brothers Show (#15.28),Love In Bloom,ralph rainger + leo robin + tom smothers + dick smothers,0
2470,85784,483155,The Honky Tonk Life I Lead,The John Evans Band,0,Imagine: John Lennon,1988.0,,A Day in the Life,john lennon + paul mccartney,0
966,917415,568750,Love On Top Of Love-Killer Kiss (The Cole & Clivilles Garage House Mix) (Digitally Remastered 2004),Grace Jones,1989,Out of Sight,1966.0,,A Love Like You,derek quinn + alan jones + freddie + the dreamers,0
4029,809138,560766,Bricks 4 The High (Explicit Album Version) (feat. Jim Jones & Damon Dash),Dem Franchize Boyz feat. Jim Jones & Damon Dash,2006,Nowhere,1997.0,,Shes So High,damon albarn + graham coxon + alex james + dave rowntree + blur,0
5091,819000,638354,I Got Lost In His Arms [from 'Annie get Your Gun'],Ethel Merman / London Festival Orchestra and Chorus / Stanley Black,0,Table for Three,2009.0,,I Found Lovin,johnny flippin / michael walker + released 1984. + the fatback band.,0
2347,298566,469617,Fantasy Pieces_ Op. 12: VII. Dream Visions in F Major,Sviatoslav Richter_ Robert Schumann,0,Hi  Buddy,1943.0,,Take Me in Your Arms,v. alberti + f. markush + mitchell parish + robert paige + the 4 sweethearts,0
4860,956992,588866,One Of Those Dreams,Michael Stanley Band,1982,Raising Lucy,2008.0,,In My Dreams,michael tomlinson,0
2562,692076,540480,Long Way Past Midnight,Michael Stanley Band,0,Midnight Stallion,2013.0,,On My Way,the grasshoppers band,0
4748,924934,362405,I Love U (Antony Reale & Funky Junction Remix - Funky Junction Big Room Dub Edit) (Antony Reale & Funky Junction Remix - Funky Junction Big Room Dub Edit),Larry Tee,0,Beats of the Heart: Chase the Devil - Religious Music of the Appalachian Mountains,1983.0,,I am a Pilgrim,larry richardson,0
4684,498896,325138,La noche y tu,Miguel Aceves MejÃ­a,0,Â¡QuÃ© noche la de aquel aÃ±o!,1987.0,,Â¡QuÃ© noche la de aquel aÃ±o!,miguel rÃ­os,0
5053,745179,253818,Way Down,Marty Stuart And His Fabulous Superlatives / Handsome Harry,2005,The Marty Stuart Show,2008.0,Music from Nashville  Volume 1: Tear the Woodpile Down (#4.16),Tear the Woodpile Down,marty stuart + the fabulous superlatives,0
2494,118592,344637,Feel Flows (Digitally Remastered '00),The Beach Boys,0,Almost Famous,2000.0,,Feel Flows,john rieley + carl wilson + the beach boys,1
3134,359890,537804,Stars Shine In Your Eyes (from La Strada),David Rose And His Orchestra,0,Melinda and Melinda,2004.0,,Concerto in D for String Orchestra: 2-Arioso: Andantino,igor stravinsky + english chamber orchestra,0
569,942841,678451,We All (Rush Of Fools Album Version),Rush Of Fools,0,The Pillow Book,1996.0,,Invocations of Gompo,buddhist lamas + monks of the four great orders,0
846,124075,595182,Slow Motion Bossa Nova,Celso Fonseca,2003,Rio  Eu Te Amo,2014.0,,Slow Motion Bossa Nova,celso fonseca,1
5076,933622,60894,Are You Lonesome Tonight? (Digitally Remastered 04),Ray Anthony,0,Daria,1997.0,Monster (#2.6),Are You Jimmy Ray,jimmy ray,0
5172,810942,103388,People Will Say We're in Love,Gordon MacRae & Shirley Jones With Jay Blackton And His Orchestra,0,Greys Anatomy,2005.0,Six Days: Part 2 (#3.12),Love Will Tear Us Apart,ian curtis + peter hook + stephen morris + bernard sumner + susanna + the magical orchestra,0
882,959739,278245,The Season of Love,Little River Band,0,The Tonight Show with Jay Leno,1992.0,(#20.150),The Heart of Rock & Roll,johnny colla + huey lewis + the tonight show band,0
1120,960174,713922,King of the Honky Tonks,Commander Cody And His Lost Planet Airmen,0,Vincent Lopez and His Orchestra,1939.0,,The Song of the Marines,harry warren + vincent lopez + his orchestra,0
4034,825716,576421,Short Life of Trouble,Blue Ridge Mountain Entertainers,0,Picture This,2008.0,,Pictures of You,the last goodnight + jeffrey mark blue + kurtis john henneberry + michael nadeau,0
4935,942173,15155,The Leaving Of The Land Of The Midnight Sun,Black Debbath,2001,Anthony Bourdain: No Reservations,2005.0,Kansas City (#8.2),Hell of a Season,the black keys,0
1681,781400,80024,Get Up I Feel Like Being A Sex Machine (Part 2),James Brown,0,Ein Heim fÃ¼r Tiere,1985.0,Max der Marder (#5.6),You Make Me Feel (Mighty Real),james wirrick + sylvester,0
2962,741951,38176,Die WalkÃ¼re : Act I - Der MÃ¤nner Sippe sa hier im Saal,Sir Thomas Beecham_ Hilde Konetzi_ Max Lorenz_ Irma BjÃ¶rck_ Andreas BÃ¶hm_ Gertrud Wettergren_ BBC Symphony Orchestra,0,Bunheads,2012.0,Take the Vicuna (#1.15),The Sleeping Beauty  Op. 66: Act III - Pas De Deux: Aurore (Variation Ii),andrew mogrelia + czecho-slovak state philharmonic orchestra,0
1920,912234,154989,Selection: (a) Casimo (b) I Love You (c) You Can Never Blame A Girl For Dreaming (d) Goodbye_ Little Rosebud (e) Wildflower (f) April Blossoms (g) Bambalina (h) Goodbye_ Little Rosebud,The London Theatre Orchestra,0,Miss Fishers Murder Mysteries,2012.0,Game  Set & Murder (#3.7),Whats the Use of Living Without Love,james hanley + joseph mccarthy + king oliver + his orchestra,0
2095,650425,715642,Hold Me My Darling - Original,Jerry Butler,0,W.W. and the Dixie Dancekings,1975.0,,Blues Stay Away from Me,alton delmore + rabon delmore + jerry reed,0
1446,903360,576421,The magic of love,Russell Watson / Lionel Richie / Jay Berliner / Jeff Bova / Royal Philharmonic Orchestra / John Lubbock,0,Picture This,2008.0,,Pictures of You,the last goodnight + jeffrey mark blue + kurtis john henneberry + michael nadeau,0
1493,936175,104477,How Long Do I Have To Wait For You?,Sharon Jones & The Dap-Kings,2005,Guapas,2014.0,En las buenas y en las malas (#1.170),I Want to Know What Love Is,mick jones + mariah carey,0
1683,781400,644308,Get Up I Feel Like Being A Sex Machine (Part 2),James Brown,0,The 420 Movie,2009.0,,Thats What I Like,james blackburn + steve derkson + fingernail juice (james blackburn + isaac mitchell + steve rubio),0
