_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
2942,956208,1638,Today I Started Loving You Again,Dolly Parton / John Popper,1996,20 to 1,2005.0,Our All Time Favourite Films (#9.11),Hopelessly Devoted To You,olivia newton-john + john farrar
2971,379037,1638,Rocket Man (I Think It's Going To Be A Long_ Long Time),Elton John,1976,20 to 1,2005.0,Our All Time Favourite Films (#9.11),Hopelessly Devoted To You,olivia newton-john + john farrar
2994,128737,1638,Had I Known You Better Then (LP Version),Daryl Hall And John Oates,1996,20 to 1,2005.0,Our All Time Favourite Films (#9.11),Hopelessly Devoted To You,olivia newton-john + john farrar
3011,850418,1638,Dedicated To You,John Coltrane / Johnny Hartman,1963,20 to 1,2005.0,Our All Time Favourite Films (#9.11),Hopelessly Devoted To You,olivia newton-john + john farrar
3074,564339,1638,Hopelessly Devoted To You,Olivia Newton-John,1978,20 to 1,2005.0,Our All Time Favourite Films (#9.11),Hopelessly Devoted To You,olivia newton-john + john farrar
3091,928982,1638,Little Road and a Stone to Roll (LP Version),John Stewart,0,20 to 1,2005.0,Our All Time Favourite Films (#9.11),Hopelessly Devoted To You,olivia newton-john + john farrar
3172,957165,29447,Sonata in A minor - Allegretto ben Moderato,Paul Fried  - Mark Kroll,0,Ben et Thomas,2008.0,Ben et Martine (#1.2),Sharper Than Ben,daniel woods + the lovely mark lovely
3178,206805,409488,I'm Going to Sit Down at the Welcome Table,Jesse Fuller,0,Deceit,2006.0,,Table 8,jesse glick
3284,785625,422412,Heaven In The Real World (Heaven In The Real Wolrd Album Version),Steven Curtis Chapman,1994,Drug Den,,,Piano Sonata No. 1 in F minor  Op. 1a: II. Adagio Cantabile Appassionato,steven obrien.
3528,946443,18356,This Land Is Your Land,Paul Anka,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3535,798089,18356,Love Theme,The Boston Pops Orchestra / John Williams,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3538,782672,18356,You Could Drive A Person Crazy [Company],Maria Friedman_ Ruthie Henshall_ Millicent Martin & Lea Salonga,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3548,541241,18356,Everything Is Wrong (Martin H. Remix),Thomas Penton feat. Martin H.,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3561,954890,18356,The Runaway Fool Of Love,John Stewart,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3569,799343,18356,Love Song For No One,John Mayer,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3572,417738,18356,Til I Get To You,Ricky Martin,2005,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3584,854838,18356,Love Somebody (Radio Dance Mix),Jimmy Martin feat. Rick Springfield,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3594,926594,18356,Whatever Gets You Thru The Night (2005 Mix),John Lennon,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3605,439142,18356,Love Is In The Air (Fran Mix),John Paul Young,1997,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3653,955628,18356,Love Of The Common People,Paul Young,1983,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3699,276001,18356,I Love You More Every Day,John Mayall,2007,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3717,427774,18356,You're Nobody Till Somebody Loves You,Frank Sinatra_ Dean Martin and Sammy Davis Jr,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3732,956208,18356,Today I Started Loving You Again,Dolly Parton / John Popper,1996,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3792,128737,18356,Had I Known You Better Then (LP Version),Daryl Hall And John Oates,1996,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3815,850418,18356,Dedicated To You,John Coltrane / Johnny Hartman,1963,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3820,909290,18356,You Can't Dance (LP Version),England Dan & John Ford Coley,1978,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3839,961194,18356,This Can't Be Love,Frank Sinatra_ Dean Martin and Sammy Davis Jr,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3864,936768,18356,O Come All Ye Faithful,The City Of Prague Philharmonic Orchestra_ The Crouch End Festival Chorus_ Paul Bateman,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3867,879451,18356,Happy Xmas (War Is Over),John & Yoko And The Plastic Ono Band With The Harlem Community Choir,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3896,654475,18356,Throw Away Comedy Medley:  Dance With A Dolly / You Are Too Beautiful / Cecilia / Love Walked In  / Carolina In The Morning / Beautiful Dreamer / Swing Low_ Sweet Chariot / I Enjoy Being A Girl / A Little Bit Of Heaven,Dean Martin,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3914,437384,18356,They Call It Stormy Monday (But Tuesday Is Just as Bad),John Hammond,1967,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3931,757065,18356,A Place Called Love,Fleming & John,1995,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3943,753216,18356,Love Is Just Around The Corner,Paul Anka,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
3955,903360,18356,The magic of love,Russell Watson / Lionel Richie / Jay Berliner / Jeff Bova / Royal Philharmonic Orchestra / John Lubbock,0,Aufgspuit!,2006.0,Schmidbauer mit Klaus Eberhartinger,All You Need Is Love,john lennon + paul mccartney + klaus eberhartinger + werner schmidbauer + martin kälberer
4855,790509,622135,You've Got The Power,Steve Miller Band,1968,Somethings Gotta Give,2003.0,,Ive Got a Crush on You,george gershwin + ira gershwin + steve tyrell + arrangement with sony music licensing
4890,835974,622135,Who Do You Love,Steve Miller Band,1994,Somethings Gotta Give,2003.0,,Ive Got a Crush on You,george gershwin + ira gershwin + steve tyrell + arrangement with sony music licensing
5045,249422,622135,You Cannot Win If You Do Not Play,Steve Forbert,0,Somethings Gotta Give,2003.0,,Ive Got a Crush on You,george gershwin + ira gershwin + steve tyrell + arrangement with sony music licensing
5054,939555,622135,Got To Get Back To Love,George Duke,2004,Somethings Gotta Give,2003.0,,Ive Got a Crush on You,george gershwin + ira gershwin + steve tyrell + arrangement with sony music licensing
5087,957418,622135,Bad Rap (Who You Tryin To Kid_ Kid?) (The Best We Could Find Album Version),STEVE TAYLOR,0,Somethings Gotta Give,2003.0,,Ive Got a Crush on You,george gershwin + ira gershwin + steve tyrell + arrangement with sony music licensing
5094,690139,622135,Only Love Can Set You Free,American Music Club,2004,Somethings Gotta Give,2003.0,,Ive Got a Crush on You,george gershwin + ira gershwin + steve tyrell + arrangement with sony music licensing
5108,196200,622135,I Love You,Steve Miller Band,1970,Somethings Gotta Give,2003.0,,Ive Got a Crush on You,george gershwin + ira gershwin + steve tyrell + arrangement with sony music licensing
5129,960677,622135,When I First Saw You Baby,George McCrae,0,Somethings Gotta Give,2003.0,,Ive Got a Crush on You,george gershwin + ira gershwin + steve tyrell + arrangement with sony music licensing
5170,603067,622135,You Send Me,Kenny G with Michael Bolton,1997,Somethings Gotta Give,2003.0,,Ive Got a Crush on You,george gershwin + ira gershwin + steve tyrell + arrangement with sony music licensing
5233,953131,622135,You Changed The Lyrics,Stone Cold Steve Austin,2004,Somethings Gotta Give,2003.0,,Ive Got a Crush on You,george gershwin + ira gershwin + steve tyrell + arrangement with sony music licensing
5297,959685,622135,World_ Hold On [Children of the sky][Bob Sinclar vs Harlem Hustlers Remix],Bob Sinclar feat. Steve Edwards,0,Somethings Gotta Give,2003.0,,Ive Got a Crush on You,george gershwin + ira gershwin + steve tyrell + arrangement with sony music licensing
5304,937106,622135,Methought_ As On The Bank Of Deep Euphrates (Recit./Accomp.: Cyrus) - Handel: Belshazzar (Act I),George Frideric Handel,0,Somethings Gotta Give,2003.0,,Ive Got a Crush on You,george gershwin + ira gershwin + steve tyrell + arrangement with sony music licensing
5341,957956,622135,I Can't Get Started With You,Steve Tyrell,0,Somethings Gotta Give,2003.0,,Ive Got a Crush on You,george gershwin + ira gershwin + steve tyrell + arrangement with sony music licensing
5571,950936,261965,So In Love,Cole Porter,1949,The Porter Wagoner Show,1961.0,Rusty Draper & Guy Drake (#1.281),A Gathering in the Sky,porter wagoner
6551,473622,261559,Alligator Man - Original,JIMMY C. NEWMAN,0,The Porter Wagoner Show,1961.0,Jimmy C. Newman (#1.514),Alligator Man,jimmy c. newman
6596,874482,378114,Back to the Future Part 3 - Indians,John Debney_ Alan Silvestri_ Royal Scottish National Orchestra,0,Broken Noses,1987.0,,Dedicated to You,johnny hartman + john coltrane
6626,909290,378114,You Can't Dance (LP Version),England Dan & John Ford Coley,1978,Broken Noses,1987.0,,Dedicated to You,johnny hartman + john coltrane
6663,926594,378114,Whatever Gets You Thru The Night (2005 Mix),John Lennon,0,Broken Noses,1987.0,,Dedicated to You,johnny hartman + john coltrane
6679,951130,378114,You Won't Let Me Go (feat. Charles Brown),Johnny Moore's Three Blazers featuring Charles Brown,0,Broken Noses,1987.0,,Dedicated to You,johnny hartman + john coltrane
6689,484591,378114,Born to Lose (live Paris '77),Johnny Thunders and The Heartbreakers,0,Broken Noses,1987.0,,Dedicated to You,johnny hartman + john coltrane
6725,276001,378114,I Love You More Every Day,John Mayall,2007,Broken Noses,1987.0,,Dedicated to You,johnny hartman + john coltrane
6735,952296,378114,Welcome To My Paradise,Johnny Lima,0,Broken Noses,1987.0,,Dedicated to You,johnny hartman + john coltrane
6748,956208,378114,Today I Started Loving You Again,Dolly Parton / John Popper,1996,Broken Noses,1987.0,,Dedicated to You,johnny hartman + john coltrane
6777,379037,378114,Rocket Man (I Think It's Going To Be A Long_ Long Time),Elton John,1976,Broken Noses,1987.0,,Dedicated to You,johnny hartman + john coltrane
6800,128737,378114,Had I Known You Better Then (LP Version),Daryl Hall And John Oates,1996,Broken Noses,1987.0,,Dedicated to You,johnny hartman + john coltrane
6817,850418,378114,Dedicated To You,John Coltrane / Johnny Hartman,1963,Broken Noses,1987.0,,Dedicated to You,johnny hartman + john coltrane
6897,928982,378114,Little Road and a Stone to Roll (LP Version),John Stewart,0,Broken Noses,1987.0,,Dedicated to You,johnny hartman + john coltrane
7850,942363,331968,Blue Sky - Fly,Jane Winther,0,A Christmas Carol,2004.0,,What a Day  What a Sky,alan menken + kelsey grammer + jesse l. martin + jane krakowski + geraldine chaplin + citizens
8097,957680,331968,Night And Day,Frank Sinatra_ Dean Martin and Sammy Davis Jr,0,A Christmas Carol,2004.0,,What a Day  What a Sky,alan menken + kelsey grammer + jesse l. martin + jane krakowski + geraldine chaplin + citizens
8169,869377,637985,What's Going On / Love_ Lead Us Home,Carl Weathersby,0,Söder om landsvägen,1936.0,,BORDSVISA / SÅ RESER VI TILL KÖPENHAMN ETT SLAG,carl romanus
8211,948698,637985,Just Wait Till I Get You Alone,Carl Smith,0,Söder om landsvägen,1936.0,,BORDSVISA / SÅ RESER VI TILL KÖPENHAMN ETT SLAG,carl romanus
8337,946882,313740,More Love,Robert Ffrench & Heavy D,0,Vis a vis,2015.0,(#2.13),Sick of Love,robert ramírez
8813,90188,348756,El Hombre De La Cima,José Luis Rodríguez,0,Ana y Víctor  en concierto,1988.0,,Un hombre despierta,luis mendo + bernardo fuster + víctor manuel
10150,951130,496509,You Won't Let Me Go (feat. Charles Brown),Johnny Moore's Three Blazers featuring Charles Brown,0,Jóvenes y rebeldes,1961.0,,See You Later Alligator,robert charles guidry + bill haley + the comets
10162,815123,496509,See You Later Alligator,Bill Haley and his Comets,0,Jóvenes y rebeldes,1961.0,,See You Later Alligator,robert charles guidry + bill haley + the comets
10201,878943,496509,You Got That Sex Appeal,Charles Wilson,0,Jóvenes y rebeldes,1961.0,,See You Later Alligator,robert charles guidry + bill haley + the comets
10307,932478,317953,Meher Baba M5 (Vivaldi),Pete Townshend,1993,What About Brian,2006.0,Pilot (#1.1),Baba OReily,pete townshend + the who
10459,603067,279296,You Send Me,Kenny G with Michael Bolton,1997,The Tonight Show with Jay Leno,1992.0,(#21.150),Where Have You Been,the dream + kelly rowland + the dream   with kelly rowland
10951,884320,246094,Hard Bass Injection,DJ Merlin & DJ C-Bass,0,The Glades,2010.0,Poseidon Adventure (#3.2),Bass Drop,august wisbon + dj roc
11381,444765,251345,End Credits,James Horner,1988,The Last Ship,2014.0,Its Not a Rumor (#2.3),The Last Ship End Credits Theme,james s. levine + jim dooley
11671,808886,473381,En la luna por fiesta,Niño Josele,0,Homenaje a Plácido Domingo,2011.0,,Fiesta en la plazuela,pedro ricardo niño
11693,747649,473381,Presentación en la Casa de la Cultura,Porno para Ricardo,0,Homenaje a Plácido Domingo,2011.0,,Fiesta en la plazuela,pedro ricardo niño
11774,944771,473381,Contigo En La Distancia,Pedro Guerra,0,Homenaje a Plácido Domingo,2011.0,,Fiesta en la plazuela,pedro ricardo niño
11809,752482,19422,Mustang Sally,Sir Mack Rice,1965,Australian Idol,2003.0,Top 6 Performance Show: Rock Swing (#4.27),Mustang Sally,bonny rice + dean geyer
11859,742220,727537,The Good News,Beat Assailant,2008,Writers Block,2013.0,,Good News,quinn deveaux + the blue beat review
11904,42731,726881,Coming Into Los Angeles [Live],Arlo Guthrie,0,Woodstock,1970.0,,Coming Into Los Angeles,arlo guthrie
11924,944587,324479,Careless Whisper,George Michael,1984,Zwei Männer am Herd,1999.0,Eine schwere Entscheidung (#2.1),Careless Whisper,wham! + george michael
11954,812189,276996,I Like That You Can't Take That Away From Me,Jae Millz / Eric B. & Rakim / Mashonda / June Christy,0,The Tonight Show with Jay Leno,1992.0,(#18.103),Cooler Than Me,mike posner + eric hölljes
12083,863078,424888,Cavatina - Arranged by Chris Hazell,Bryn Terfel / London Symphony Orchestra / Barry Wordsworth / John Williams,0,Eat with Me,2014.0,,MDV - English Rain,adam john pickering + paula marie walker + the daydream club
12122,949464,424888,Go Ahead On - Original,Dr. John,0,Eat with Me,2014.0,,MDV - English Rain,adam john pickering + paula marie walker + the daydream club
12210,874482,424888,Back to the Future Part 3 - Indians,John Debney_ Alan Silvestri_ Royal Scottish National Orchestra,0,Eat with Me,2014.0,,MDV - English Rain,adam john pickering + paula marie walker + the daydream club
12220,36511,424888,Die Bibi Mc Benson Protokolle - Olli Schulz Im Verhör,Olli Schulz Und Der Hund Marie,0,Eat with Me,2014.0,,MDV - English Rain,adam john pickering + paula marie walker + the daydream club
12745,952277,628996,I'll Play The Blues For You,Albert King,1972,Stars in Your Eyes,1956.0,,Without You,edwin astley + albert elms + hazel astley + malcolm harvey + dorothy squires
13284,879856,472372,In the end,Michael Mantler_ Jack Bruce_ Marianne Faithfull_ Robert Wyatt,0,Hollywood Shuffle,1987.0,,Theres a Bat in My House,robert townsend
13302,908749,472372,All My Money Gone,Henry Townsend,0,Hollywood Shuffle,1987.0,,Theres a Bat in My House,robert townsend
13319,949847,472372,Baby_ Lets Play House,Robert Gordon_ with Link Wray,0,Hollywood Shuffle,1987.0,,Theres a Bat in My House,robert townsend
13333,298566,472372,Fantasy Pieces_ Op. 12: VII. Dream Visions in F Major,Sviatoslav Richter_ Robert Schumann,0,Hollywood Shuffle,1987.0,,Theres a Bat in My House,robert townsend
13687,332458,101878,Toy Story: You've Got a Friend in Me,Animation Soundtrack Ensemble,0,Great Performances,1971.0,Kiss Me Kate (#31.9),Kiss Me Kate,cole porter + brent barrett + rachel york + ensemble
13778,889460,199993,Theme (The Duke) - Intro,The Dave Brubeck Quartet Featuring Paul Desmond,0,Sabrina  the Teenage Witch,1996.0,Thin Ice (#6.6),Sabrina End Theme,danny lux + paul taylor
13805,904546,199993,S.O.P. Theme #3: Feelings And Facts,Danny Elfman,0,Sabrina  the Teenage Witch,1996.0,Thin Ice (#6.6),Sabrina End Theme,danny lux + paul taylor
13976,802941,268747,I Said Never Again (But Here We Are),Rachel Stevens,2005,The Simpsons,1989.0,The Great Louse Detective (#14.6),The Way We Were,alan bergman + marilyn bergman + marvin hamlisch + sally stevens
14448,810355,268747,Way Down Yonder In New Orleans,Ray Stevens,0,The Simpsons,1989.0,The Great Louse Detective (#14.6),The Way We Were,alan bergman + marilyn bergman + marvin hamlisch + sally stevens
14539,948076,726401,You Are Not Going To Worry My Life Anymore,Sam 'Lightnin' Hopkins,0,Woman They Almost Lynched,1953.0,,All My Life,sam h. stept
14836,590264,166533,Medley: This Magic Moment / Dance With Me / There Goes My Baby / Save The Last Dance For Me,Ben E. King,0,New Zealand Idol,2004.0,Top 10 Performance Show: Idols Choice (#1.11),(You Make Me Feel Like) A Natural Woman,gerry goffin + carole king + jerry wexler + camillia temple
14893,918219,166533,I Feel The Earth Move,Carole King,1971,New Zealand Idol,2004.0,Top 10 Performance Show: Idols Choice (#1.11),(You Make Me Feel Like) A Natural Woman,gerry goffin + carole king + jerry wexler + camillia temple
14899,893991,166533,They Call Me Mr. Tibbs Main Title (King Britt vocal reinterpretation featuring Mr. Lif),King Britt,0,New Zealand Idol,2004.0,Top 10 Performance Show: Idols Choice (#1.11),(You Make Me Feel Like) A Natural Woman,gerry goffin + carole king + jerry wexler + camillia temple
15138,650425,166533,Hold Me My Darling - Original,Jerry Butler,0,New Zealand Idol,2004.0,Top 10 Performance Show: Idols Choice (#1.11),(You Make Me Feel Like) A Natural Woman,gerry goffin + carole king + jerry wexler + camillia temple
15242,546070,403736,Dakota's Theme,Chris Christian,1988,Dakota,1988.0,,Dakotas Theme,chris christian
15263,563341,163079,Amazing Grace,John McDermott,0,Mystery Science Theater 3000,1988.0,High School Big Shot (#7.18),Amazing Grace,john newton + peter b. dysart
15273,903360,386430,The magic of love,Russell Watson / Lionel Richie / Jay Berliner / Jeff Bova / Royal Philharmonic Orchestra / John Lubbock,0,Casualties of War,1989.0,,Magic Carpet Ride,rushton moreve + john kay + steppenwolf
15280,947783,386430,Ride Of Your Life (New Jim Scott Mix),John Gregory,0,Casualties of War,1989.0,,Magic Carpet Ride,rushton moreve + john kay + steppenwolf
15301,879451,17636,Happy Xmas (War Is Over),John & Yoko And The Plastic Ono Band With The Harlem Community Choir,0,Atop the Fourth Wall,2008.0,Darker Image #1 (#3.12),Happy Happy Joy Joy,charlie brissette + john kricfalusi + chris reccardi .
15314,876697,17636,Yellow Is A Happy Color,Charlie Peacock,1989,Atop the Fourth Wall,2008.0,Darker Image #1 (#3.12),Happy Happy Joy Joy,charlie brissette + john kricfalusi + chris reccardi .
15839,549906,471648,2001: A SPACE ODYSSEY - Blue Danube Waltz,Strauss,0,Hold That Ghost,1941.0,,The Blue Danube Waltz,johann strauss
16513,573387,190506,Big Jet Plane,Angus & Julia Stone,2010,R.I.S. Police scientifique,2006.0,Mort suspecte (#6.6),Big Jet Plane,angus + julia stone + angus stone
16559,128245,424449,I Just Wanna Be Your Everything,Andy Gibb,2003,Earth to Echo,2014.0,,Your Friend,andy warren + colin dieden + david appelbaum + joshua hogan + kathryn earl + matthew di panni + spencer gongwer + the mowglis
16610,359890,424449,Stars Shine In Your Eyes (from La Strada),David Rose And His Orchestra,0,Earth to Echo,2014.0,,Your Friend,andy warren + colin dieden + david appelbaum + joshua hogan + kathryn earl + matthew di panni + spencer gongwer + the mowglis
17141,926550,287362,Let Our Love Last Forever,Roy Roberts,0,The X Factor,2004.0,Bootcamp 2 (#4.8),Let It Be,john lennon + paul mccartney + rhydian roberts
17153,379037,287362,Rocket Man (I Think It's Going To Be A Long_ Long Time),Elton John,1976,The X Factor,2004.0,Bootcamp 2 (#4.8),Let It Be,john lennon + paul mccartney + rhydian roberts
17181,437384,287362,They Call It Stormy Monday (But Tuesday Is Just as Bad),John Hammond,1967,The X Factor,2004.0,Bootcamp 2 (#4.8),Let It Be,john lennon + paul mccartney + rhydian roberts
17196,878003,287362,Live And Let Die,Paul McCartney And Wings,1987,The X Factor,2004.0,Bootcamp 2 (#4.8),Let It Be,john lennon + paul mccartney + rhydian roberts
17238,960314,287362,Let Go (UK Radio Edit),Paul Van Dyk,2007,The X Factor,2004.0,Bootcamp 2 (#4.8),Let It Be,john lennon + paul mccartney + rhydian roberts
17374,134226,47706,Beast Of Burden,The Rolling Stones,1978,Cold Case,2003.0,Shattered (#7.22),Beast Of Burden,mick jagger + keith richards + the rolling stones
17625,960601,97847,You Better Think Twice,The Richie Furay Band,0,Glastonbury 2015,2015.0,Day 3: Part 1 (#1.17),Say You Say Me,lionel richie
17793,618074,97847,Say You_ Say Me,Lionel Richie Tribute Band,0,Glastonbury 2015,2015.0,Day 3: Part 1 (#1.17),Say You Say Me,lionel richie
17850,798378,97847,Willow Weep For Me,Ray Brown / Lionel Hampton / Oscar Peterson / Buddy Rich,0,Glastonbury 2015,2015.0,Day 3: Part 1 (#1.17),Say You Say Me,lionel richie
17897,949727,472940,I'm Gonna Make You Love Me,Diana Ross & The Supremes / The Temptations,2000,Holy Smoke,1999.0,,Baby Its You,burt bacharach  / mack david  / barney williams + the shirelles + arrangement with celebrity licensing inc.
